lizard	eggnog
RGS8	RGS8
RGS16	RGS16
RNASEL	RNASEL
RGSL1	RGSL1
SI:DKEYP-113D7.1	ZNF91
QSOX1	QSOX1
LHX4	LHX4
ACBD6	ACBD6
XPR1	XPR1
KIAA1614	KIAA1614
STX6	STX6
IER5	IER5
CACNA1E	CACNA1E
FAM20B	FAM20B
ABL2	ABL2
TOR3A	TOR3A
SOAT1	SOAT1
AXDND1	AXDND1
NPHS2	NPHS2
TDRD5	TDRD5
FAM163A	FAM163A
TOR1AIP2	TOR1AIP2
TOR1AIP1	TOR1AIP1
ANXA10	ANXA10
DDX60	DDX60
PALLD	PALLD
CBR4	CBR4
SH3RF1	SH3RF1
NEK1	NEK1
CLCN3	CLCN3
C4ORF27	C4ORF27
MFAP3L	MFAP3L
AADAT	AADAT
CHEK1	CHEK1
EI24	EI24
C12ORF49	C12ORF49
RNFT2	RNFT2
FBXW8	FBXW8
TESC	TESC
FBXO21	FBXO21
NOS1	NOS1
HNRPDL	HNRPDL
HNRNPD	HNRNPD
PRKG2	PRKG2
C4ORF22	C4ORF22
FGF5	FGF5
PRDM8	PRDM8
ANTXR2	ANTXR2
SAT2	SAT2
TRIP6	TRIP6
SLC16A13	SLC16A13
CLDN7	CLDN7
SLC2A4	SLC2A4
YBX2	YBX2
EIF5AL1	EIF5A
GPS2	GPS2
NEURL4	NEURL4
C17ORF81	ELP5
CTDNEP1	CTDNEP1
DVL2	DVL2
ACADVL	ACADVL
DLG4	DLG4
KCTD11	KCTD11
TMEM95	TMEM95
PLSCR3B	PLSCR3
D2X2H8_ANOCA	NLGN2
TMEM102	MB21D2
FGF11	FGF11
SENP3	SENP3
EIF4A1	EIF4A1
MPDU1B	MPDU1
EPHB4	EPHB4
PPP1R35	PPP1R35
MEPCE	MEPCE
ZCWPW1	ZCWPW1
TFR2	TFR2
POP7	POP7
ACTL6B	ACTL6B
GIGYF1	GIGYF1
ZAN	ZAN
SLC12A9	SLC12A9
UFSP1	UFSP1
SRRT	SRRT
NYAP1	NYAP1
AGFG2	AGFG2
CAMTA2	CAMTA2
INCA1	INCA1
PCOLCE	PCOLCE
FBXO24	FBXO24
LRCH4	LRCH4
SPAG7	SPAG7
ENO3	ENO3
RNF167	RNF167
SLC25A11	SLC25A11
MINK1	MINK1
PLD2	PLD2
PSMB6	PSMB6
GLTPD2	GLTPD2
VMO1	VMO1
TM4SF5	TM4SF5
ZMYND15	ZMYND15
ARRB2	ARRB2
PELP1	PELP1
RNASEK	RNASEK
C17ORF49	C17ORF49
ACHE	ACHE
TPH1	TPH1
SERGEF	SERGEF
MYOD1	MYOD1
OTOG	OTOG
ITM2B	ITM2B
RB1	RB1
RCBTB2	RCBTB2
PCNT	PCNT
ATR	ATR
PLS1	PLS1
TRPC1	TRPC1
PCOLCE2	PCOLCE2
PAQR9	PAQR9
U2SURP	U2SURP
CHST2	CHST2
F1NYM1_CHICK	SLC9A9
C3ORF58	C3ORF58
EXTL3	EXTL3
INTS9	INTS9
FKBP8	FKBP8
KXD1	KXD1
WDR18	WDR18
GRIN3B	GRIN3B
C19ORF6	C19ORF6
GATAD2A	GATAD2A
MAU2	MAU2
SUGP1	SUGP1
TM6SF2	TM6SF2
HAPLN4	HAPLN4
NCAN	NCAN
NR2C2AP	NR2C2AP
CLCN7	CLCN7
PARN	PARN
ECI1	ECI1
DNASE1L2	DNASE1L2
C7ORF26	C7ORF26
NAA60	NAA60
MGRN1	MGRN1
FAM100A	FAM100A
C16ORF96	C16ORF96
C16ORF5	CDIP1
HMOX2	HMOX2
NMRAL1	NMRAL1
DNAJA3	DNAJA3
CORO7	CORO7
VASN	VASN
PAM16	PAM16
TFAP4	TFAP4
SRL	SRL
F1NP57_CHICK	ADCY9
GSG1L	GSG1L
KIAA0556	KIAA0556
GTF3C1	GTF3C1
RHBDF1	RHBDF1
MPG	MPG
NPRL3	NPRL3
HBM	HBAD
TMEM8A	TMEM8A
MRPL28	MRPL28
AXIN1	AXIN1
PDIA2	PDIA2
RGS11	RGS11
ITFG3	ITFG3
F1NU73_CHICK	TRAP1
SLX4	SLX4
CREBBP	CREBBP
POLR2H	POLR2H
THPO	THPO
CHRD	CHRD
CLCN2	CLCN2
FAM131A	FAM131A
EIF4G1	EIF4G1
SNX2	SNX2
SNX24	SNX24
PPIC	PPIC
CEP120	CEP120
CSNK1G3	CSNK1G3
ZNF608	ZNF608
GRAMD3	GRAMD3
ALDH7A1	ALDH7A1
PHAX	PHAX
C5ORF48	C5ORF48
LMNB1	LMNB1
MARCH3	MARCH3
C5ORF63	C5ORF63
MEGF10	MEGF10
SLC12A2	SLC12A2
LRFN2	LRFN2
ARNT2	ARNT2
FAM108C1	FAM108C1
KIAA1199	KIAA1199
MESDC2	MESDC2
MESDC1	MESDC1
C15ORF26	C15ORF26
STARD5	STARD5
TMC3	TMC3
EFTUD1	EFTUD1
FAM154B	FAM154B
ADAMTSL3	ADAMTSL3
SH3GL3	SH3GL3
BNC1	BNC1
RP11-382A20.3.1	HDGFRP3
TM6SF1	TM6SF1
BTBD1	BTBD1
C15ORF40	C15ORF40
FAM103A1	FAM103A1
HOMER2	HOMER2
WHAMM	WHAMM
FSD2	FSD2
GATM	GATM
HDC	HDC
USP8	USP8
TRPM7	TRPM7
USP50	USP50
SPPL2A	SPPL2A
Q5ZL96_CHICK	ITGB1BP3
SQRDL	SQRDL
PLDN	BLOC1S6
SLC30A4	SLC30A4
SPATA5L1	SPATA5L1
DTWD1	DTWD1
C15ORF33	FAM227B
FGF7	FGF7
GALK2	GALK2
COPS2	COPS2
SECISBP2L	SECISBP2L
SHC4	SHC4
CEP152	CEP152
FBN1	FBN1
DUT	DUT
SLC12A1	SLC12A1
MYEF2	MYEF2
SLC24A5	SLC24A5
SEMA6D	SEMA6D
DMXL2	DMXL2
F1NRL7_CHICK	CYP19A1
TNFAIP8L3	TNFAIP8L3
AP4E1	AP4E1
SCG3	SCG3
LYSMD2	LYSMD2
TMOD2	TMOD2
TMOD3	TMOD3
LEO1	LEO1
MAPK6	MAPK6
MYO5C	MYO5C
MYO5A_CHICK	MYO5A
FAM214A	FAM214A
PKM2	PKM
GRAMD2	GRAMD2
SENP8	SENP8
MYO9A	MYO9A
NR2E3	NR2E3
MFAP1	MFAP1
C15ORF63	HYPK
SERINC4	SERINC4
PDIA3_CHICK	PDIA3
F1NXR0_CHICK	CKMT1B
PPIP5K1	PPIP5K1
MAP1A	MAP1A
TP53BP1	TP53BP1
TUBGCP4	TUBGCP4
IQGAP1	IQGAP1
ZNF285	ZNF595
PCDH9	PCDH9
GLUD1	GLUD1
Q9I9H0_CHICK	SNCG
MMRN2	MMRN2
BMPR1A	BMPR1A
LDB3	LDB3
OPN4	OPN4
WAPAL	WAPAL
CAPN14	CAPN14
EHD3	EHD3
XDH	XDH
CDC42BPA	CDC42BPA
ADCK3	ADCK3
PSEN2	PSEN2
ITPKB	ITPKB
C1ORF95	C1ORF95
C10ORF35	C10ORF35
NEUROG3	NEUROG3
TSPAN15	TSPAN15
F1NEI1_CHICK	HK1
HKDC1	HKDC1
SUPV3L1	SUPV3L1
VPS26A	VPS26A
SRGN	SRGN
KIAA1279	KIAA1279
DDX21	DDX21
STOX1	STOX1
CCAR1	CCAR1
TET1	TET1
SLC25A16	SLC25A16
DNA2	DNA2
RUFY2	RUFY2
PBLD	PBLD
ATOH7	ATOH7
MYPN	MYPN
CACNA1I	CACNA1I
RPS19BP1	RPS19BP1
ATF4	ATF4
SMCR7L	SMCR7L
MGAT3	MGAT3
TAB1	TAB1
RPL3	RPL3
SH3GL2	SH3GL2
GALNT14	GALNT14
CAPN13	CAPN13
ATP8B1	ATP8B1
POLE	POLE
PXMP2	PXMP2
C10ORF88	C10ORF88
PSTK	PSTK
IKZF5	IKZF5
ACADSB	ACADSB
HMX2	HMX2
BUB3	BUB3
GPR26	GPR26
CPXM2	CPXM2
ITGB5	ITGB5
KALRN	KALRN
PTP4A3	PTP4A3
CYB5R3	CYB5R3
PPFIBP1	PPFIBP1
REP15	REP15
RYR3	RYR3
KLHL4	KLHL4
STAG2	STAG2
Q8UVF8_CHICK	XIAP
THOC2	THOC2
GRIA3	GRIA3
SLC2A6.1	SLC2A6
CACFD1	CACFD1
ADAMTS13.1	ADAMTS13
ZNF862	ZNF862
REXO4.1	REXO4
C9ORF96	C9ORF96
SURF1	SURF1
SURF2	SURF2
MED22	MED22
SURF6	SURF6
C9ORF174	C9ORF174
GBGT1	GBGT1
RALGDS	RALGDS
CEL	CEL
GTF3C5	GTF3C5
TSC1	TSC1
C9ORF9	C9ORF9
AK8	AK8
GTF3C4	GTF3C4
DDX31	DDX31
BARHL1	BARHL1
TTF1	TTF1
SETX	SETX
NTNG2	NTNG2
MED27	MED27
RAPGEF1	RAPGEF1
UCK1	UCK1
POMT1	POMT1
PRRC2B	PRRC2B
PPAPDC3	PPAPDC3
FAM78A	FAM78A
NUP214	NUP214
AIF1L	AIF1L
LAMC3	LAMC3
FIBCD1	FIBCD1
ABL1	ABL1
EXOSC2	EXOSC2
PRDM12	ZNF227
FUBP3	FUBP3
ASS1	ASS1
C9ORF78	C9ORF78
F1P4F0_CHICK	USP20
FNBP1	FNBP1
GPR107	GPR107
NCS1	NCS1
F2Z4L4_CHICK	SET
PKN3	PKN3
ZDHHC12	ZDHHC12
ZER1	ZER1
TBC1D13	TBC1D13
ENDOG	ENDOG
C9ORF114	C9ORF114
CCBL1	CCBL1
LRRC8A	LRRC8A
PHYHD1	PHYHD1
DOLK	DOLK
NUP188	NUP188
SHLB2_CHICK	SH3GLB2
FAM73B	FAM73B
DOLPP1	DOLPP1
CRAT	CRAT
Q5ZM56_CHICK	PPP2R4
METTL11A	NTMT1
ASB6	ASB6
PRRX2	PRRX2
PTGES	PTGES
TOR1B	TOR1B
TOR1A	TOR1A
UBAC1	UBAC1
Q5ZI70_CHICK	NACC2
C9ORF69	C9ORF69
LHX3_CHICK	LHX3
QSOX2	QSOX2
GPSM1	GPSM1
CARD9	CARD9
SNAPC4	SNAPC4
SDCCAG3	SDCCAG3
PMPCA	PMPCA
INPP5E	INPP5E
SEC16A	SEC16A
NOTCH1	NOTCH1
EGFL7	EGFL7
AGPAT2	AGPAT2
FAM69B	FAM69B
MRPS2	MRPS2
C9ORF116	C9ORF116
PPP1R26	PPP1R26
NOE1_CHICK	OLFM1
IRX4	IRX4
NDUFS6	NDUFS6
MRPL36	MRPL36
LPCAT1	LPCAT1
CLPTM1L	CLPTM1L
TERT	TERT
F1NPI2_CHICK	SLC6A18
C11ORF85	C11ORF85
SLC12A7	SLC12A7
MURC	MURC
TMEFF1	TMEFF1
SLC39A6	SLC39A6
FAM206A	FAM206A
CTNNAL1	CTNNAL1
ELP2	ELP2
GABBR2	GABBR2
GALNT12	GALNT12
ANKS6	ANKS6
NFX1	NFX1
CMBL	CMBL
MARCH6	MARCH6
ROPN1L	ROPN1L
SNRNP48	SNRNP48
GNAS	GNAS
TH1L	TH1L
CTSZ	CTSZ
TUBB1	TUBB1
ATP5E	ATP5E
Q5F3S7_CHICK	SLMO2
ZNF831	ZNF831
RPL27A	RPL27A
EDN3	EDN3
PHACTR3	PHACTR3
SYCP2	SYCP2
PPP1R3D	PPP1R3D
FAM217B	FAM217B
CDH26	CDH26
CX3CR1	CX3CR1
SLC25A38	SLC25A38
RSSA_CHICK	RPSA
TMC2	TMC2
C7ORF10	C7ORF10
CDK13	CDK13
RALA	RALA
YAE1D1	YAE1D1
POU6F2	POU6F2
VPS41	VPS41
AMPH	AMPH
STARD3NL	STARD3NL
EPDR1	EPDR1
SFRP4	SFRP4
TXNDC3	NME8
GPR141	GPR141
ELMO1	ELMO1
AOAH	AOAH
ANLN	ANLN
KIAA0895	KIAA0895
EEPD1	EEPD1
SEPT7	SEPT7
HERPUD2	HERPUD2
TBX20_CHICK	TBX20
DPY19L1	DPY19L1
BMPER	BMPER
TMEM39B	TMEM39B
HDAC1	HDAC1
LCK	LCK
FAM167B	FAM167B
EIF3I	EIF3I
TMEM234	TMEM234
DCDC2B	DCDC2B
IQCC	IQCC
CCDC28B	CCDC28B
TXLNA	TXLNA
KPNA6	KPNA6
TSSK3	TSSK3
BSDC1	BSDC1
ZBTB8B	ZBTB8B
ZBTB8A	ZBTB8A
ZBTB8OS	ZBTB8OS
RBBP4	RBBP4
SYNC	SYNC
KIAA1522	KIAA1522
YARS	YARS
S100PBP	S100PBP
FNDC5	FNDC5
HPCA	HPCA
TMEM54	TMEM54
RNF19B	RNF19B
AK2	AK2
ADC	ADC
NDUFS5	NDUFS5
MACF1	MACF1
KIAA0754	KIAA0754
BMP8	BMP8A
PPIE	PPIE
PABPC4	PABPC4
NT5C1A	NT5C1A
TRIT1	TRIT1
MYCL1	MYCL1
THRAP3	THRAP3
SH3D21	SH3D21
FAM176B	EVA1B
STK40	STK40
LSM10	LSM10
OSCP1	OSCP1
MRPS15	MRPS15
CSF3R	CSF3R
GRIK3	GRIK3
ZC3H12A	ZC3H12A
MEAF6	MEAF6
SNIP1	SNIP1
DNALI1	DNALI1
GNL2	GNL2
RSPO1	RSPO1
C1ORF109	C1ORF109
MANEAL	MANEAL
YRDC	YRDC
Q5ZLE7_CHICK	MTF1
INPP5B	INPP5B
SF3A3	SF3A3
FHL3	FHL3
UTP11L	UTP11L
Q5ZLN9_CHICK	RRAGC
RHBDL2	RHBDL2
BEAN1	BEAN1
TK2	TK2
CMTM3	CMTM3
CMTM4	CMTM4
DYNC1LI2	DYNC1LI2
SI:DKEY-30C15.5	CCDC79
NAE1	NAE1
PDP2	PDP2
ACTRT2	ACTRT1
PRDM16	PRDM16
ARHGEF16	ARHGEF16
MEGF6	MEGF6
TPRG1L	TPRG1L
WDR8	WRAP73
TP73	TP73
CCDC27	CCDC27
MRPS16	MRPS16
SLC45A1	SLC45A1
CLDN19	CLDN19
LEPRE1	LEPRE1
C1ORF50	C1ORF50
CDC42_CHICK	CDC42
WNT4	WNT4
RXFP4	RXFP4
EEF1G	EEF1G
AHNAK	AHNAK
SAC3D1	SAC3D1
ARL2	ARL2
SNX15	SNX15
GPHA2	GPHA2
PPP2R5B	PPP2R5B
EXOC3L4	EXOC3L4
CDC42BPB	CDC42BPB
AMN	AMN
TRAF3	TRAF3
RCOR1	RCOR1
ANKRD9	ANKRD9
TECPR2	TECPR2
CINP	CINP
ZNF839	ZNF839
MOK	MOK
WDR20	WDR20
HSP90AA1	HSP90AA1
SI:CH73-132K15.2	MSMB
DYNC1H1	DYNC1H1
PPP2R5C	PPP2R5C
DIO3	DIO3
DLK1	DLK1
BEGAIN	BEGAIN
WDR25	WDR25
WARS	WARS
SLC25A47	SLC25A47
SLC25A29	SLC25A29
YY1	ZFP42
ZNF804A	ZNF804A
SETBP1	SETBP1
CDH8	CDH8
ATXN10	ATXN10
WNT7B_CHICK	WNT7B
PPARA	PPARA
C1H22ORF40	CDPF1
TTC38	TTC38
ZC3HAV1	ZC3HAV1
ETV6	ETV6
BCL2L14	BCL2L14
LRP6	LRP6
MANSC1	MANSC1
LOH12CR1	LOH12CR1
DUSP16	DUSP16
CREBL2	CREBL2
GPR19	GPR19
CDKN1A	CDKN1A
CDKN1B	CDKN1B
KCNQ1	KCNQ1
MRPS35	MRPS35
MANSC4	MANSC4
PTHLH	PTHLH
CCDC91	CCDC91
FAR2	FAR2
ARHGEF5	ARHGEF5
NOBOX	NOBOX
CD9	CD9
VWF	VWF
ANO2	ANO2
NTF3_CHICK	NTF3
FHOD3	FHOD3
RPRD1A	RPRD1A
C18ORF21	C18ORF21
GALNT1	GALNT1
TMEM245	TMEM245
FRRS1L	FRRS1L
EPB41L4B	EPB41L4B
C8ORF80	NUGGC
KCNK3	KCNK3
ZPBP1_CHICK	ZPBP
VWC2	VWC2
CCDC135	CCDC135
ZPD	ZPD
SNAP29	SNAP29
PI4KA	PI4KA
SERPIND1	SERPIND1
XPNPEP1	XPNPEP1
ADD3	ADD3
MXI1	MXI1
SMNDC1	SMNDC1
DUSP5	DUSP5
SMC3	SMC3
RBM20	RBM20
PDCD4	PDCD4
SHOC2	SHOC2
ADRA2A	ADRA2A
GPAM	GPAM
TECTB	TECTB
CU459185.1	GUCY2G
ACSL5	ACSL5
ZDHHC6	ZDHHC6
VTI1A	VTI1A
TCF7L2	TCF7L2
HABP2	HABP2
NRAP	NRAP
CASP7	CASP7
C10ORF81	PLEKHS1
DCLRE1A	DCLRE1A
NHLRC2	NHLRC2
ADRB1	ADRB1
C10ORF118	C10ORF118
VWA2	VWA2
AFAP1L2	AFAP1L2
ABLIM1	ABLIM1
FAM160B1	FAM160B1
TRUB1	TRUB1
ATRNL1	ATRNL1
GFRA1	GFRA1
C10ORF96	CCDC172
PNLIPRP2	PNLIP
C10ORF82	C10ORF82
HSPA12A	HSPA12A
ENO4	ENO4
KIAA1598	KIAA1598
VAX1	VAX1
KCNK18	KCNK18
SLC18A2	SLC18A2
PDZD8	PDZD8
OR5B12	OR5B21
OR5AS1	OR5AS1
OR5L2	OR5L1
OR5AR1	OR5AR1
OR5AP2	OR5F1
LRRC55	LRRC55
TNKS1BP1	TNKS1BP1
SSRP1	SSRP1
P2RX3	P2RX3
SLC43A3	SLC43A3
RTN4RL2	RTN4RL2
SLC43A1	SLC43A1
TIMM10	TIMM10
SMTNL1	SMTNL1
SERPING1	SERPING1
YPEL4	YPEL4
CLP1	CLP1
ZDHHC5	ZDHHC5
MED19	MED19
TMX2	TMX2
BTBD18	BTBD18
CTNND1	CTNND1
LPXN	LPXN
ZFP91	ZFP91
CNTF	CNTF
MPEG1	MPEG1
DTX4	DTX4
OSBP	OSBP
PATL1	PATL1
OR10V1	OR10V1
STX3	STX3
MRPL16	MRPL16
GIF	GIF
PITPNM1	PITPNM1
CDK2AP2	CDK2AP2
ZGC:112300	CABP2
GSTP1	GSTP1
NDUFV1	NDUFV1
NUDT8	NUDT8
COL18A1	COL18A1
SLC19A1	SLC19A1
MS4A12	MS4A15
CCDC86	CCDC86
ZP1	ZP1
PRPF19	PRPF19
TMEM109	TMEM109
TMEM132A	TMEM132A
SLC15A3	SLC15A3
VPS37C	VPS37C
VWCE	VWCE
DDB1	DDB1
DAK	DAK
CYBASC3	CYBASC3
TMEM138	TMEM138
TMEM216	TMEM216
CPSF7	CPSF7
SDHAF2	SDHAF2
PPP1R32	PPP1R32
LRRC10B	LRRC10B
SYT7	SYT7
UACA	UACA
MORF4L1	MORF4L1
ADAMTS7	ADAMTS7
C14ORF37	C14ORF37
HMG20A	HMG20A
PEAK1.1	PEAK1
TSPAN3	TSPAN3
PSTPIP1	PSTPIP1
RCN2	RCN2
SCAPER	SCAPER
E1BXE8_CHICK	SLC6A11
RSL1D1	RSL1D1
GSPT1	GSPT1
SNX29	SNX29
CPPED1	CPPED1
SHISA9	SHISA9
MRPS34	MRPS34
SPSB3	SPSB3
NUBP2_CHICK	NUBP2
IGFALS	IGFALS
MKL2	MKL2
ERCC4	ERCC4
F1P3E1_CHICK	NME3
MAPK8IP3	MAPK8IP3
TSPAN9	TSPAN9
EFCAB4B	EFCAB4B
PARP11	PARP11
C12ORF5	C12ORF5
FGF23	FGF23
FGF6A	FGF6
C12ORF4	C12ORF4
RAD51AP1	RAD51AP1
DYRK4	DYRK4
AKAP3	AKAP3
Q5ZI00_CHICK	NDUFA9
NBEAL2	NBEAL2
CCDC12	CCDC12
LPPR5.1	LPPR5
SNX7	SNX7
DPYD	DPYD
PTBP2	PTBP2
TMEM237	TMEM237
ALS2CR11	ALS2CR11
STRADB	STRADB
TRAK2	TRAK2
ALS2CR12	ALS2CR12
CASP10	CASP10
CFLAR	CFLAR
NDUFB3	NDUFB3
FAM126B	FAM126B
NIF3L1	NIF3L1
PPIL3	PPIL3
CLK1	CLK1
BZW1	BZW1
AOX1	AOX1
SH2D4B	SH2D4B
CTNND2	CTNND2
TRIO	TRIO
FAM105A	FAM105A
ANKH	ANKH
FAM105B	FAM105B
FBXL7	FBXL7
MARCH11	MARCH11
ZNF622	ZNF622
FAM134B	FAM134B
MYO10	MYO10
BASP1	BASP1
CDH18	CDH18
CDH12	CDH12
CEP72	CEP72
TPPP	TPPP
ZDHHC11	ZDHHC11
BRD9	BRD9
TRIP13	TRIP13
ATP11A	ATP11A
TUBGCP3	TUBGCP3
C13ORF16	TEX29
ARHGEF7	ARHGEF7
ANKRD10	ANKRD10
ING1	ING1
CARS2	CARS2
FAM155A	FAM155A
ARGLU1	ARGLU1
F1NLX6_CHICK	EFNB2
NKG7	NKG7
ETFB	ETFB
VSIG10L	VSIG10L
IGLON5	IGLON5
PPP2R1A	PPP2R1B
SIGLEC12	SIGLEC12
HAS1	HAS1
KCNN4	KCNN4
SMG9	SMG9
CCDC88B	CCDC88B
CALM3B	CALM2
SLC3A2	SLC3A2
TMEM223	TMEM223
NXF1	NXF1
STX5	STX5
WDR74	WDR74
TUT1	TUT1
MTA2	MTA2
EML3	EML3
B3GAT3	B3GAT3
GANAB	GANAB
INTS5	INTS5
POLR2GL	POLR2G
ZBTB3	ZBTB3
DACT2	DACT2
TTC9C	TTC9C
ADSS	ADSS
GNG3	GNG3
BSCL2	BSCL2
LRRN4CL	LRRN4CL
SLC30A1	SLC30A1
UBXN1	UBXN1
C1ORF192	C1ORF192
SDHC	SDHC
MPZ	MPZ
TOMM40L	TOMM40L
UFC1	UFC1
USP21	USP21
PPOX	PPOX
B4GALT3	B4GALT3
ADAMTS4	ADAMTS4
YIF1A	YIF1A
CNIH2	CNIH2
KLC2	KLC2
PACS1	PACS1
UQCRQ	UQCRQ
NDUFS2	NDUFS2
FCER1G	FCER1G
K0907_CHICK	KIAA0907
Q5ZKS5_CHICK	RIT1
SYT11	SYT11
YY1AP1	GON4L
MSTO1	MSTO1
DAP3	DAP3
ASH1L	ASH1L
RUSC1	FDPS
PKLR	PKLR
CLK2	CLK2
SCAMP3	SCAMP3
FAM189B	FAM189B
GBA	GBA
MTX1	MTX1
THBS3	THBS3
TRIM46	TRIM46
KRTCAP2	KRTCAP2
DPM3	DPM3
SLC50A1	SLC50A1
EFNA1	EFNA1
EFNA3B	EFNA3
EFNA4	EFNA4
ADAM15	ADAM15
DCST1	DCST1
DCST2	DCST2
FLAD1	FLAD1
SHC1	SHC1
