mouse	eggnog
Fbxo9	FBXO9
Vps50	CCDC132
Hars	HARS
Zmat2	ZMAT2
Ube2c	UBE2C
Smg5	SMG5
Cct3	CCT3
Glmp	C1ORF85
Mef2d	MEF2D
Tmem79	TMEM79
Snd1	SND1
Kpnb1	KPNB1
Npepps	NPEPPS
Tbx21	TBX21
Mrpl10	MRPL10
Cideb	CIDEB
Cyp51	CYP51A1
Afg3l1	AFG3L1
Def8	DEF8
Sost	SOST
Nkx2-1	NKX2-1
Pax9	PAX9
Vwa5a	VWA5A
Itga3	ITGA3
Itfg2	ITFG2
Tulp3	TULP3
Gtf2h4	GTF2H4
Flot1	FLOT1
Ell2	ELL2
Jup	JUP
Fkbp10	FKBP10
Klhl10	KLHL10
Mnx1	MNX1
Nom1	NOM1
Fxr1	FXR1
Tnk1	TNK1
Acap1	ACAP1
Bdkrb2	BDKRB2
Csn3	CSN3
Ifrd1	IFRD1
Stk38l	STK38L
Hoxc10	HOXC10
Hoxc13	HOXC13
Hoxc11	HOXC11
Hoxc8	HOXC8
Hoxc9	HOXC9
Hoxc5	HOXC5
Hoxc6	HOXC6
Cabin1	CABIN1
Gstt1	GSTT1
Gstt3	GSTT3
Ddt	DDT
Tat	TAT
Marveld3	MARVELD3
Ddx18	DDX18
Eef1e1	EEF1E1
Akt1	AKT1
Cldn15	CLDN15
Il16	IL16
Tcirg1	TCIRG1
Naglu	NAGLU
Coasy	COASY
Pabpc1	PABPC1
Smo	SMO
Crnkl1	CRNKL1
Folh1	FOLH1
Chordc1	CHORDC1
Naalad2	NAALAD2
Rtcb	C22ORF28
Pwp1	PWP1
Fbxo7	FBXO7
Capns1	CAPNS1
Slc7a10	SLC7A10
Evx2	EVX2
Hoxd13	HOXD13
Hoxd12	HOXD12
Clpb	CLPB
Zdhhc4	ZDHHC4
Aif1l	AIF1L
Cpa3	CPA3
Ltbp1	LTBP1
Tollip	TOLLIP
Ace	ACE
Kcnh6	KCNH6
Trmt1	TRMT1
Nacc1	NACC1
Siae	SIAE
Vsig2	VSIG2
Esam	ESAM
Spa17	SPA17
Tktl2	TKTL2
Emd	EMD
Ccdc47	CCDC47
Map3k3	MAP3K3
Taco1	TACO1
Npas1	NPAS1
Ap4e1	AP4E1
Blvra	BLVRA
Ltbp2	LTBP2
Plxnb3	PLXNB3
Pdzd4	PDZD4
Srpk3	SRPK3
Abcd1	ABCD1
Pnck	PNCK
Ssr4	SSR4
Bcap31	BCAP31
Kmt2a	MLL
Ift46	IFT46
Tmem25	TMEM25
Cd3g	CD3G
Trappc6a	TRAPPC6A
Supt6	SUPT6H
Unc119	UNC119
Rab34	RAB34
Sdf2	SDF2
Hsf2bp	HSF2BP
Bbc3	BBC3
Psmc3	PSMC3
Acp2	ACP2
Celf2	CELF2
Nr1h3	NR1H3
Spi1	SPI1
Sf3a1	SF3A1
Clgn	CLGN
Napsa	NAPSA
Vrk3	VRK3
Smg9	SMG9
Plaur	PLAUR
Uchl3	UCHL3
Paxip1	PAXIP1
Rmnd5a	RMND5A
Mov10	MOV10
Ppm1j	PPM1J
Rhoc	RHOC
Kdm7a	JHDM1D
Prr27	C4ORF40
Zfp523	ZNF76
Ppard	PPARD
Def6	DEF6
Metrn	METRN
Narfl	NARFL
Angptl4	ANGPTL4
Dbf4	DBF4
Cd320	CD320
Tgm1	TGM1
Tm9sf1	TM9SF1
Rec8	REC8
Gmpr2	GMPR2
Adcy4	ADCY4
Mdp1	MDP1
Dhrs1	DHRS1
Ncan	NCAN
Tmem161a	TMEM161A
Borcs8	MEF2BNB
Snx9	SNX9
Rfx2	RFX2
Ranbp3	RANBP3
Ndufa11	NDUFA11
Nt5c1b	NT5C1B
Nr2f6	NR2F6
Ocel1	OCEL1
Babam1	BABAM1
Braf	BRAF
Hltf	HLTF
Aes	AES
Prpf6	PRPF6
Rgs19	RGS19
Rgs20	RGS20
Abhd3	ABHD3
Snrpd1	SNRPD1
Slc9a3r2	SLC9A3R2
Puf60	PUF60
Scrib	SCRIB
Uck1	UCK1
Scin	SCIN
Mien1	MIEN1
Pon1	PON1
Axl	AXL
Tgfb1	TGFB1
Ccdc97	CCDC97
Akap8	AKAP8
Shh	SHH
Pdcd2l	PDCD2L
Gtf2f1	GTF2F1
Clpp	CLPP
Alkbh7	ALKBH7
Pspn	PSPN
Med6	MED6
Cox16	COX16
Prkd1	PRKD1
Cse1l	CSE1L
Naa20	NAA20
Prkra	PRKRA
Fkbp7	FKBP7
Camk2b	CAMK2B
Ykt6	YKT6
Baz1b	BAZ1B
Tmed5	TMED5
Ppp2r5d	PPP2R5D
Pex6	PEX6
Mrpl2	MRPL2
Mea1	MEA1
Gnmt	GNMT
Grin2d	GRIN2D
Abcc6	ABCC6
Kdelr1	KDELR1
Btbd6	BTBD6
Nudt14	NUDT14
Sfrp4	SFRP4
Epdr1	EPDR1
Flii	FLII
Top3a	TOP3A
Qtrt1	QTRT1
Plin4	PLIN4
Hdgfrp2	HDGFRP2
Adprh	ADPRH
Tmem39a	TMEM39A
Timmdc1	TIMMDC1
Pla1a	PLA1A
Adgre5	CD97
Il17ra	IL17RA
Lamb1	LAMB1
Arrdc2	ARRDC2
Tbxas1	TBXAS1
Map2k7	MAP2K7
Timm44	TIMM44
Disp1	DISP1
Ap2a2	AP2A2
Pnkp	PNKP
Med25	MED25
Bcam	BCAM
Apoe	APOE
Apoc4	APOC4
Prkar2b	PRKAR2B
Cyp2f2	CYP2F1
Cdkn1b	CDKN1B
Rab8a	RAB8A
Fam32a	FAM32A
Elf3	ELF3
Stk11	STK11
Efna2	EFNA2
Atp5d	ATP5D
Ppp5c	PPP5C
Prkd3	PRKD3
Cdk12	CDK12
Lipe	LIPE
Cnot11	C2ORF29
Foxj2	FOXJ2
Sh3gl1	SH3GL1
Ebi3	EBI3
Irf3	IRF3
Bcl2l12	BCL2L12
Ranbp2	RANBP2
Edar	EDAR
Grk5	GRK5
Dvl3	DVL3
Abcf3	ABCF3
Eif2b5	EIF2B5
Amph	AMPH
Grin2c	GRIN2C
Plag1	PLAG1
Hck	HCK
Mrpl4	MRPL4
Pde4a	PDE4A
Ap1m2	AP1M2
Glg1	GLG1
Cyp4f39	CYP4F22
Mknk2	MKNK2
Btbd2	BTBD2
Abhd17a	FAM108A1
Mob3a	MOB3A
Cacnb3	CACNB3
Ccdc65	CCDC65
Fkbp11	FKBP11
Ddx23	DDX23
Rnd1	RND1
Myo1g	MYO1G
Ogdh	OGDH
Grik5	GRIK5
Cd79a	CD79A
Prkcsh	PRKCSH
Elavl3	ELAVL3
Rab3b	RAB3B
St8sia6	ST8SIA6
Fcgrt	FCGRT
Nosip	NOSIP
Supt5	SUPT5H
Paf1	PAF1
Med29	MED29
Bicd1	BICD1
Ncstn	NCSTN
Casq1	CASQ1
Crhr2	CRHR2
Inmt	INMT
Gars	GARS
Cyp4f18	CYP4F18
Pcdhgb6	PCDHGB6
Dusp3	DUSP3
Prodh	PRODH
Dgcr14	DGCR14
Slc25a1	SLC25A1
Ddr1	DDR1
Ier3	IER3
Fosb	FOSB
Ckm	CKM
Ercc1	ERCC1
As3mt	AS3MT
Comp	COMP
Homer3	HOMER3
Rnf215	RNF215
Sec14l2	SEC14L2
Tgfb3	TGFB3
Aven	AVEN
Aak1	AAK1
Cp	CP
Abcb4	ABCB4
Crot	CROT
Brd4	BRD4
Rps6ka1	RPS6KA1
Calb2	CALB2
Ciao1	CIAO1
Has1	HAS1
Gdf15	GDF15
Insig2	INSIG2
Htr3a	HTR3A
Kpna6	KPNA6
Man1a	MAN1A1
Itpkc	ITPKC
Shkbp1	SHKBP1
Coq8b	ADCK4
Mxi1	MXI1
Brd8	BRD8
Ece2	ECE2
Farsa	FARSA
Gcdh	GCDH
Mast2	MAST2
Dnase2a	DNASE2
Rad23a	RAD23A
Calr	CALR
Syce2	SYCE2
Nob1	NOB1
Nqo1	NQO1
Ppfia3	PPFIA3
Gys1	GYS1
Lin7b	LIN7B
Il7r	IL7R
Efnb3	EFNB3
Mmd	MMD
Hlf	HLF
Kpna1	KPNA1
Dzip1	DZIP1
Fam162a	FAM162A
Grm3	GRM3
Ssbp2	SSBP2
Fancl	FANCL
Brinp2	FAM5B
Gstm5	GSTM3
Stat5b	STAT5B
Stat5a	STAT5A
Map3k11	MAP3K11
Hmox2	HMOX2
Cdip1	CDIP1
Cwc15	CWC15
Col5a3	COL5A3
Dnmt1	DNMT1
Ppan	PPAN
Eif3g	EIF3G
Angptl2	ANGPTL2
Cacna1e	CACNA1E
Hira	HIRA
Adh1	ADH1A
Dyrk2	DYRK2
Psap	PSAP
Plxna3	PLXNA3
Ikbkg	IKBKG
Pax2	PAX2
Wars2	WARS2
Phb2	PHB2
Ptpn6	PTPN6
Eno2	ENO2
Emg1	EMG1
Lpcat3	LPCAT3
Irf5	IRF5
Atp6v1f	ATP6V1F
Clcn3	CLCN3
Gpx6	GPX6
Gpx5	GPX5
Utp20	UTP20
Spic	SPIC
Sst	SST
Sin3b	SIN3B
Large1	LARGE
Npc1l1	NPC1L1
Ddx56	DDX56
Tmed4	TMED4
Rps5	RPS5
Bid	BID
Ralb	RALB
Dnajb11	DNAJB11
Tbccd1	TBCCD1
Clec11a	CLEC11A
Gab2	GAB2
Slc1a4	SLC1A4
Coro1c	CORO1C
Ndrg2	NDRG2
Pnpla6	PNPLA6
Mcoln1	MCOLN1
Arhgef18	ARHGEF18
Pex11g	PEX11G
Mospd2	MOSPD2
Lim2	LIM2
Stxbp2	STXBP2
Pcp2	PCP2
Sgce	SGCE
Wwox	WWOX
Nrf1	NRF1
Tyr	TYR
Aqp1	AQP1
Arid3b	ARID3B
Cnn2	CNN2
Polr2e	POLR2E
Ly9	LY9
Cd244	CD244
Adgre1	EMR1
Mtfp1	MTFP1
Eif2b2	EIF2B2
Pgf	PGF
Ulk2	ULK2
Ccl24	CCL24
Tmed11	TMED11
Traf6	TRAF6
Prpsap2	PRPSAP2
Grap	GRAP
Pou1f1	POU1F1
Chmp2b	CHMP2B
Plod3	PLOD3
Brpf3	BRPF3
Mapk13	MAPK13
Srpk1	SRPK1
Mapk14	MAPK14
Pax3	PAX3
Lbr	LBR
Hapln2	HAPLN2
Prcc	PRCC
Rrnad1	RRNAD1
Hdgf	HDGF
Crabp2	CRABP2
U2af2	U2AF2
Tmem242	TMEM242
Thop1	THOP1
Pias4	PIAS4
Map2k1	MAP2K1
Sgta	SGTA
Nmrk2	NMRK2
Dtx2	DTX2
Zp3	ZP3
Hspb1	HSPB1
Nfe2l3	NFE2L3
Kdm5a	KDM5A
Fxyd4	FXYD4
Ccdc130	CCDC130
Mri1	MRI1
Prkacb	PRKACB
Sgsh	SGSH
Chd5	CHD5
Cstb	CSTB
Sh2b2	SH2B2
Cd44	CD44
Slc1a2	SLC1A2
Eif2ak4	EIF2AK4
Wdr1	WDR1
Slc2a9	SLC2A9
Wisp1	WISP1
Ndrg1	NDRG1
4930550C14Rik	C11ORF65
Klf5	KLF5
Prdx2	PRDX2
Shbg	SHBG
Senp3	SENP3
Corin	CORIN
G6pc2	G6PC2
Spc25	SPC25
Trp53	TP53
Ufd1l	UFD1L
Letm1	LETM1
Fgfr4	FGFR4
Cadm3	CADM3
Txn2	TXN2
Casp14	CASP14
Slc1a6	SLC1A6
Slc1a3	SLC1A3
Msh6	MSH6
Fbxo11	FBXO11
Mlxipl	MLXIPL
Tbl2	TBL2
Stx1a	STX1A
Kmt5b	SUV420H1
Hmox1	HMOX1
Cic	CIC
Pafah1b3	PAFAH1B3
Siglecg	SIGLEC10
Rfx1	RFX1
Il27ra	IL27RA
Prkaca	PRKACA
Asf1b	ASF1B
Myl10	MYL10
Pkn1	PKN1
Dnajb1	DNAJB1
Msh4	MSH4
Celf1	CELF1
Ndufs3	NDUFS3
Por	POR
Igf1r	IGF1R
Fcer2a	FCER2
Atp4a	ATP4A
Trim28	TRIM28
Chmp2a	CHMP2A
Ube2m	UBE2M
Adcy9	ADCY9
Mef2c	MEF2C
Ctr9	CTR9
Mrvi1	MRVI1
Pip5k1a	PIP5K1A
Tmod4	TMOD4
Cabp5	CABP5
Snx6	SNX6
Mthfd2	MTHFD2
Kit	KIT
Tomm40l	TOMM40L
Nr1i3	NR1I3
Apoa2	APOA2
Pan2	PAN2
Ampd3	AMPD3
Bcas2	BCAS2
Sh2d1a	SH2D1A
Ctcf	CTCF
Agrp	AGRP
Pvalb	PVALB
Tfap4	TFAP4
Vav1	VAV1
Klk9	KLK9
Cd247	CD247
Psmb4	PSMB4
Mmp12	MMP12
Slc30a4	SLC30A4
Sqrdl	SQRDL
Bloc1s6	BLOC1S6
Adh5	ADH5
Gpr108	GPR108
Tnfsf14	TNFSF14
Pth1r	PTH1R
Cnga2	CNGA2
Reep5	REEP5
Arhgap8	ARHGAP8
Ergic3	ERGIC3
Uqcc1	UQCC
Ncoa2	NCOA2
Trh	TRH
Smpd4	SMPD4
Pex1	PEX1
Otx1	OTX1
Itgae	ITGAE
Ctns	CTNS
P2rx5	P2RX5
Shpk	SHPK
Trpv1	TRPV1
Ephb3	EPHB3
Tuft1	TUFT1
Rcn1	RCN1
Dnase1	DNASE1
Trap1	TRAP1
Naa60	NAA60
1700037C18Rik	C16ORF90
Tyrp1	TYRP1
BC003331	C1ORF27
Prg4	PRG4
Kptn	KPTN
Napa	NAPA
Ankhd1	ANKHD1
Snf8	SNF8
Vps54	VPS54
Ctsb	CTSB
Tbcb	TBCB
Inpp5k	INPP5K
Crkl	CRKL
Lrwd1	LRWD1
Upk3bl	UPK3BL
Tead4	TEAD4
Prss16	PRSS16
Cdkal1	CDKAL1
Htra1	HTRA1
Clcnkb	CLCNKB
Fam131c	FAM131C
Fblim1	FBLIM1
Epor	EPOR
Ccdc159	CCDC159
Mob1b	MOB1B
Atp6v1b1	ATP6V1B1
Atp6v1b2	ATP6V1B2
Tep1	TEP1
Ttc5	TTC5
Osgep	OSGEP
Aamp	AAMP
Arpc2	ARPC2
Kmt2b	MLL4
Upk1a	UPK1A
Tmem147	TMEM147
Ggt1	GGT1
Crip1	CRIP1
Cbfa2t3	CBFA2T3
Mpl	MPL
Elovl1	ELOVL1
Tpbg	TPBG
Hyi	HYI
Cdc20	CDC20
Nectin4	PVRL4
Pfdn2	PFDN2
Tmem189	TMEM189
Srm	SRM
Epha2	EPHA2
Arhgef19	ARHGEF19
Rbm14	RBM14
Actn3	ACTN3
Sptbn1	SPTBN1
Zdhhc24	ZDHHC24
Slc34a3	SLC34A3
Nsmf	NELF
Pdk1	PDK1
Prtn3	PRTN3
Mvd	MVD
Itih3	ITIH3
Tmem110	TMEM110
Itih4	ITIH4
Itih1	ITIH1
Wnt6	WNT6
Wnt10a	WNT10A
Cryba2	CRYBA2
Atp7b	ATP7B
Slc4a1	SLC4A1
Rundc3a	RUNDC3A
Cdt1	CDT1
Runx1t1	RUNX1T1
Aprt	APRT
Gtf2h1	GTF2H1
Slc17a1	SLC17A1
Slc17a2	SLC17A2
Hfe	HFE
Ncr1	NCR1
Tcf23	TCF23
Nphs1	NPHS1
Aplp1	APLP1
Qars	QARS
Qrich1	QRICH1
P4htm	P4HTM
Usp19	USP19
Pola1	POLA1
D130043K22Rik	KIAA0319
Gmnn	GMNN
Acot13	ACOT13
Cdk4	CDK4
Pip4k2a	PIP4K2A
B4galnt1	B4GALNT1
Mettl1	METTL1
Tph2	TPH2
Krt28	KRT28
Krt23	KRT23
Kat2a	KAT2A
Ttc25	TTC25
Hcn1	HCN1
Wtap	WTAP
Sod2	SOD2
Ik	IK
Tmco6	TMCO6
Ctnnb1	CTNNB1
Acly	ACLY
Klk4	KLK4
Chrd	CHRD
Psmd2	PSMD2
Ap2m1	AP2M1
Syngr3	SYNGR3
Vwa7	VWA7
Slc44a4	SLC44A4
Msh5	MSH5
Abhd16a	ABHD16A
Neu1	NEU1
Ddah2	DDAH2
Clic1	CLIC1
Lsm2	LSM2
Krt14	KRT14
Krt13	KRT13
Krt16	KRT16
Pole	POLE
Krt19	KRT19
Krt31	KRT31
Atp12a	ATP12A
Scube2	SCUBE2
Strada	STRADA
Mrpl49	MRPL49
Vps25	VPS25
Gatad1	GATAD1
Pcdhac1	PCDHAC1
M6pr	M6PR
Tinf2	TINF2
Tssk4	TSSK4
Hapln4	HAPLN4
Dus3l	DUS3L
Gtpbp3	GTPBP3
Tgfbr1	TGFBR1
Rad51c	RAD51C
Gabrb2	GABRB2
Cav1	CAV1
Bcl2l1	BCL2L1
Khsrp	KHSRP
Ccdc124	CCDC124
Rhoa	RHOA
Zmiz1	ZMIZ1
Hnrnpa0	HNRNPA0
Prrg2	PRRG2
Rbm28	RBM28
Ddx49	DDX49
Id3	ID3
Tcap	TCAP
Arid1a	ARID1A
Crlf1	CRLF1
Cabs1	CABS1
Hmgcll1	HMGCLL1
Ttc9b	TTC9B
Phox2a	PHOX2A
Abhd8	ABHD8
Ift22	RABL5
Mid1ip1	MID1IP1
Prok2	PROK2
Fhl2	FHL2
Clstn3	CLSTN3
Cers4	CERS4
Phax	PHAX
Relt	RELT
Snrpb2	SNRPB2
Prpf31	PRPF31
Sertad1	SERTAD1
Elk3	ELK3
Herpud2	HERPUD2
Rdh13	RDH13
Adam21	ADAM21
Fut1	FUT1
Rnf151	RNF151
Elavl2	ELAVL2
Mgst1	MGST1
Htr3b	HTR3B
Rab25	RAB25
Ubqln4	UBQLN4
Rps18	RPS18
Gprc5b	GPRC5B
Coro1b	CORO1B
Man1a2	MAN1A2
Tppp2	TPPP2
Acyp1	ACYP1
Sptbn2	SPTBN2
Hdac4	HDAC4
Hdac5	HDAC5
Rala	RALA
Clec3a	CLEC3A
Rpl30	RPL30
Mta1	MTA1
Vps72	VPS72
Gabpa	GABPA
Stk38	STK38
Bmp7	BMP7
Pdcl	PDCL
Rsph14	RTDR1
Cabp7	CABP7
Zmat5	ZMAT5
Ap1b1	AP1B1
Derl3	DERL3
Tbx1	TBX1
Bcl2l13	BCL2L13
Spatc1l	SPATC1L
Dgcr8	DGCR8
Xpo6	XPO6
Prr29	C17ORF72
Serpinb2	SERPINB2
Tmem8c	TMEM8C
Trpm5	TRPM5
Ascl2	ASCL2
Tspan32	TSPAN32
Zfp212	ZNF212
Rarres2	RARRES2
Pttg1ip	PTTG1IP
Slc16a12	SLC16A12
Timp1	TIMP1
Syn2	SYN2
Elk1	ELK1
Kcnc4	KCNC4
Ush1c	USH1C
Rnmt	RNMT
Kcnq1	KCNQ1
Srp14	SRP14
Eng	ENG
Tor2a	TOR2A
Mkl2	MKL2
Syngr1	SYNGR1
St6galnac1	ST6GALNAC1
Tex15	TEX15
G0s2	G0S2
P4ha1	P4HA1
Pla2g12b	PLA2G12B
Mcu	MCU
Oit3	OIT3
Tex11	TEX11
Fxyd5	FXYD5
Kcnd1	KCND1
Tfcp2	TFCP2
Ubp1	UBP1
Sdhb	SDHB
Cox4i2	COX4I2
Snap47	SNAP47
Wnt3a	WNT3A
Kdsr	KDSR
Nxf2	NXF2
Tktl1	TKTL1
Zmynd10	ZMYND10
Hyal2	HYAL2
Ifrd2	IFRD2
Hyal1	HYAL1
Tusc2	TUSC2
Nprl2	NPRL2
Slc38a3	SLC38A3
Cacna2d2	CACNA2D2
Rassf1	RASSF1
Slc3a2	SLC3A2
Slc22a6	SLC22A6
Slc22a8	SLC22A8
Stx5a	STX5
Slc47a1	SLC47A1
Wdr77	WDR77
Pifo	PIFO
Tnfrsf13b	TNFRSF13B
Spire2	SPIRE2
Prox1	PROX1
2610507B11Rik	KIAA0100
AI597479	C2ORF49
Tmem86a	TMEM86A
Ifi35	IFI35
Rdm1	RDM1
Gosr1	GOSR1
Mrpl52	MRPL52
Kansl3	KANSL3
Il12rb2	IL12RB2
Gm266	GM266
Mettl16	METTL16
Dazl	DAZL
Psen2	PSEN2
Plcd1	PLCD1
Fads1	FADS1
Cars	CARS
Phlda2	PHLDA2
Asz1	ASZ1
Wnt2	WNT2
Grid2ip	GRID2IP
Kdelr3	KDELR3
1700006E09Rik	C17ORF105
Dnajc19	DNAJC19
Apip	APIP
Pdhx	PDHX
Mcoln2	MCOLN2
Slc5a1	SLC5A1
Panx3	PANX3
Fgf11	FGF11
Cfap161	C15ORF26
Brf1	BRF1
Vipr2	VIPR2
Prss45	PRSS45
Thg1l	THG1L
Adam19	ADAM19
Exoc3l2	EXOC3L2
Sugp1	SUGP1
Acad9	ACAD9
Dmrtc2	DMRTC2
Cpb1	CPB1
Dennd1c	DENND1C
Fsd1	FSD1
Pinlyp	PINLYP
Pgam1	PGAM1
Ttn	TTN
Snapc2	SNAPC2
Gltp	GLTP
Ccnt1	CCNT1
Scarf2	SCARF2
4930579F01Rik	C4ORF17
Med15	MED15
Dhdds	DHDDS
Gsc2	GSC2
Bmp5	BMP5
Mogat1	MOGAT1
Gstm2	GSTM1
Tex22	TEX22
Wnt8a	WNT8A
Tjap1	TJAP1
Nanog	NANOG
Tmem167	TMEM167A
Hps3	HPS3
Kif11	KIF11
Zmiz2	ZMIZ2
Rpa3	RPA3
Tnpo3	TNPO3
Siglecf	SIGLEC5
Cd209a	CD209
Retn	RETN
Acpt	ACPT
Strn3	STRN3
Amotl1	AMOTL1
Tmem190	TMEM190
Zkscan17	ZNF496
Gfod2	GFOD2
Enkd1	ENKD1
4933405L10Rik	C16ORF86
Arih2	ARIH2
Adh4	ADH4
Igf2bp1	IGF2BP1
Srrm3	SRRM3
Fgfrl1	FGFRL1
Bcas1	BCAS1
Commd8	COMMD8
Ndufs2	NDUFS2
Snx31	SNX31
Fnbp4	FNBP4
Atraid	ATRAID
Trim54	TRIM54
Cad	CAD
Lypd8	LYPD8
Pten	PTEN
Pea15a	PEA15
Tnfaip8l2	TNFAIP8L2
Crbn	CRBN
Ppp1r12c	PPP1R12C
Ly6g6e	LY6G6E
Birc3	BIRC3
Pip4k2c	PIP4K2C
Abca4	ABCA4
Rnf170	RNF170
Klk10	KLK10
Klk12	KLK12
Myl2	MYL2
Mcemp1	C19ORF59
Pax5	PAX5
Rnf168	RNF168
Tctex1d2	TCTEX1D2
Chp1	CHP1
Sval2	SVAL2
Apbb1ip	APBB1IP
Tvp23b	FAM18B1
Dnajc7	DNAJC7
Cacybp	CACYBP
Pigl	PIGL
Ankrd17	ANKRD17
Ndufa2	NDUFA2
Glis2	GLIS2
Cox6c	COX6C
Bicc1	BICC1
Anapc1	ANAPC1
Mertk	MERTK
Tsg101	TSG101
Hps5	HPS5
Plg	PLG
Blk	BLK
Rnf166	RNF166
Ankrd28	ANKRD28
Pkd2l2	PKD2L2
Clec4f	CLEC4F
Wdfy2	WDFY2
Rbsn	ZFYVE20
Dguok	DGUOK
Csf1	CSF1
Alx3	ALX3
Slc25a11	SLC25A11
Chrne	CHRNE
Cpne8	CPNE8
Chfr	CHFR
Ceacam16	CEACAM16
Hoxa2	HOXA2
Ankrd53	ANKRD53
Tex261	TEX261
Tbp	TBP
Psmb1	PSMB1
Dll1	DLL1
Fhod1	FHOD1
Plekhg4	PLEKHG4
Stc1	STC1
4931428F04Rik	KIAA0895L
Tppp3	TPPP3
Adamts13	ADAMTS13
Tmem208	TMEM208
E2f4	E2F4
Surf4	SURF4
Surf2	SURF2
Dnajb9	DNAJB9
Tlk2	TLK2
Tsen15	TSEN15
Limk1	LIMK1
Eln	ELN
Efr3a	EFR3A
Trappc2l	TRAPPC2L
Acsf3	ACSF3
Galns	GALNS
Gata2	GATA2
C8g	C8G
Ptgds	PTGDS
Edf1	EDF1
Fbxw5	FBXW5
Slc25a13	SLC25A13
Unkl	UNKL
Lrrk1	LRRK1
Aldh1a3	ALDH1A3
