pleurodeles	eggnog
GPC6	GPC6
RABL6	RABL6
ACSS1	ACSS1
RCOR2	RCOR2
SESN2	SESN2
CEP120	CEP120
NRBP2	NRBP2
ZHX3	ZHX3
SLC44A5	SLC44A5
NAPG	NAPG
WDFY3	WDFY3
IGF2R	IGF2R
LRFN3	LRFN3
MFRP	MFRP
SOX9	SOX9
CLSTN1	CLSTN1
BSDC1	BSDC1
YEATS2	YEATS2
TMTC1	TMTC1
NR1I2	NR1I2
KREMEN2	KREMEN2
DXO	DXO
TRIO	TRIO
PPP1R15B	PPP1R15B
PIK3R6	PIK3R6
ITGB1	ITGB1
MCF2L	MCF2L
ABCC13	ABCC13
SERHL2	SERHL2
ARFRP1	ARFRP1
MAP2K1	MAP2K1
TIMP3	TIMP3
NYAP1	NYAP1
IL1RAPL2	IL1RAPL2
GRN	GRN
SPRN	SPRN
ELK1	ELK1
PAPSS2	PAPSS2
KCNB2	KCNB2
DHX36	DHX36
TSC22D1	TSC22D1
SEMA5A	SEMA5A
TRAPPC11	TRAPPC11
NELFB	NELFB
NPEPPS	NPEPPS
LETMD1	LETMD1
XRN1	XRN1
ZDHHC2	ZDHHC2
STX16	STX16
PAPOLG	PAPOLG
COPB2	COPB2
FBXW2	FBXW2
CRABP2	CRABP2
MTHFD1	MTHFD1
MGEA5	MGEA5
CLASP2	CLASP2
LARS	LARS
DCLK2	DCLK2
RASSF5	RASSF5
PAN2	PAN2
MAP3K7	MAP3K7
RAB27B	RAB27B
SAMD8	SAMD8
ACE	ACE
KCTD5	KCTD5
NACA	NACA
ABCG4	ABCG4
REM2	REM2
KLF7	KLF7
NRXN1	NRXN1
RNF170	RNF170
FZD7	FZD7
TSC22D2	TSC22D2
DYNC1I1	DYNC1I1
LIPA	LIPA
LCK	LCK
MTMR1	MTMR1
AHI1	AHI1
KIAA0907	KIAA0907
ANKRD17	ANKRD17
TP53BP1	TP53BP1
SSX2IP	SSX2IP
EXOC4	EXOC4
CMIP	CMIP
DHRS7B	DHRS7B
PIK3R1	PIK3R1
BCL6B	BCL6B
RGMA	RGMA
CIRH1A	CIRH1A
DPP6	DPP6
MGA	MGA
LRRN1	LRRN1
ADAMTS8	ADAMTS8
NNT	NNT
WDR44	WDR44
PLK3	PLK3
ZBTB10	ZBTB10
VCAM1	VCAM1
ZZEF1	ZZEF1
ZNF423	ZNF423
MAPK8IP1	MAPK8IP1
KLC1	KLC1
NCKAP1	NCKAP1
CAD	CAD
FNDC3A	FNDC3A
FOXO3	FOXO3
CORO1C	CORO1C
PAM	PAM
MAPRE2	MAPRE2
CDA	CDA
CPNE7	CPNE7
SEMA3A	SEMA3A
CLIP2	CLIP2
SLC16A3	SLC16A3
ARHGAP21	ARHGAP21
KAZN	KAZN
DHX16	DHX16
GEMIN4	GEMIN4
ZNF438	ZNF438
RALGAPB	RALGAPB
TNKS2	TNKS2
APPL1	APPL1
ABLIM2	ABLIM2
SLITRK1	SLITRK1
ACACA	ACACA
TCF12	TCF12
CRTAM	CRTAM
SEC16A	SEC16A
ANK3	ANK3
PKD2	PKD2
DAPK1	DAPK1
SEC24A	SEC24A
ACER1	ACER1
R3HDM2	R3HDM2
STAM2	STAM2
PDCL	PDCL
DCX	DCX
ISLR2	ISLR2
MEF2C	MEF2C
SGCB	SGCB
ZDHHC17	ZDHHC17
NCOA7	NCOA7
LRP10	LRP10
POLA1	POLA1
USO1	USO1
FAM21A	FAM21A
NUP98	NUP98
CHMP4A	CHMP4A
MYBBP1A	MYBBP1A
RNF8	RNF8
NCOA2	NCOA2
ARHGEF4	ARHGEF4
PAK7	PAK7
SOCS6	SOCS6
LRRN3	LRRN3
ZNF106	ZNF106
SOGA1	SOGA1
MTHFD1L	MTHFD1L
TMEM151A	TMEM151A
FAM134B	FAM134B
SCLY	SCLY
PAXIP1	PAXIP1
CYP2D6	CYP2D6
ACSL3	ACSL3
PRPF19	PRPF19
ARSB	ARSB
CAB39	CAB39
STARD3	STARD3
SON	SON
LRBA	LRBA
CSDE1	CSDE1
VAV1	VAV1
GOLGA4	GOLGA4
PAK6	PAK6
TMEM234	TMEM234
EDNRB	EDNRB
ZFPM2	ZFPM2
AREG	AREG
SV2B	SV2B
TMEM121	TMEM121
CHN1	CHN1
tmem91	tmem91
H3F3A	H3F3A
CAMK1G	CAMK1G
SLC7A11	SLC7A11
RAB27A	RAB27A
DET1	DET1
MDGA2	MDGA2
CD276	CD276
ARHGEF17	ARHGEF17
BMPR1B	BMPR1B
GSK3A	GSK3A
SPNS2	SPNS2
SLC35F5	SLC35F5
RASSF8	RASSF8
VGLL4	VGLL4
TMX3	TMX3
TLL1	TLL1
C2CD4D	C2CD4D
ENDOG	ENDOG
BAD	BAD
SF3A1	SF3A1
TFAP2E	TFAP2E
MBIP	MBIP
PPP2R1A	PPP2R1A
PADI2	PADI2
SLC7A6OS	SLC7A6OS
CTDSP2	CTDSP2
CDH13	CDH13
FSTL5	FSTL5
ZMYND11	ZMYND11
RTKN	RTKN
RAB5C	RAB5C
ATP8A2	ATP8A2
PPP1R12A	PPP1R12A
TACC2	TACC2
MBNL3	MBNL3
WEE1	WEE1
KCNF1	KCNF1
TRNT1	TRNT1
INADL	INADL
CAP2	CAP2
BACE1	BACE1
GART	GART
ATRNL1	ATRNL1
UBE3C	UBE3C
STXBP6	STXBP6
SLC2A2	SLC2A2
SLC5A6	SLC5A6
FUK	FUK
LARP4B	LARP4B
UNC13B	UNC13B
CXCL14	CXCL14
GGT7	GGT7
EFHD2	EFHD2
RAD21	RAD21
DYNC1LI2	DYNC1LI2
PROX1	PROX1
CSF1R	CSF1R
PCDH1	PCDH1
YTHDF3	YTHDF3
KCNK15	KCNK15
TCF19	TCF19
GUCY1A2	GUCY1A2
DCTN1	DCTN1
SIPA1	SIPA1
N4BP1	N4BP1
ATP13A1	ATP13A1
SCG2	SCG2
PFKFB3	PFKFB3
ZNF638	ZNF638
C19orf66	C19orf66
RASAL1	RASAL1
GNB4	GNB4
PCNXL3	PCNXL3
FAM69C	FAM69C
THSD7B	THSD7B
TOE1	TOE1
SPG20	SPG20
ZC3HAV1	ZC3HAV1
ZNF318	ZNF318
CPXM1	CPXM1
POR	POR
CHRNA7	CHRNA7
VPS26B	VPS26B
DNM1	DNM1
QSER1	QSER1
CRMP1	CRMP1
MOSPD2	MOSPD2
USP32	USP32
SPOCK1	SPOCK1
USP11	USP11
SAFB2	SAFB2
MOCS1	MOCS1
MYO10	MYO10
TSPYL2	TSPYL2
srsf5	srsf5
OSTM1	OSTM1
44443	4-Sep
NAA60	NAA60
PARP10	PARP10
BAI1	BAI1
DIAPH2	DIAPH2
TENM1	TENM1
DDIT4	DDIT4
FOXO4	FOXO4
TMF1	TMF1
DENND5A	DENND5A
PTBP1	PTBP1
NCKAP5L	NCKAP5L
G3BP1	G3BP1
PDZD4	PDZD4
CROCC	CROCC
KCNIP4	KCNIP4
CRY2	CRY2
EVA1B	EVA1B
ERCC1	ERCC1
YIPF2	YIPF2
C2CD3	C2CD3
FAM126A	FAM126A
PSME4	PSME4
ADCK4	ADCK4
BRINP1	BRINP1
ELMO2	ELMO2
CNTN3	CNTN3
LYPLA2	LYPLA2
nog2	nog2
ENTPD1	ENTPD1
PAN3	PAN3
DLGAP1	DLGAP1
STRADA	STRADA
SHE	SHE
PLXDC1	PLXDC1
NT5C3B	NT5C3B
PTK2B	PTK2B
PPP4R4	PPP4R4
HNRNPUL1	HNRNPUL1
SH3PXD2A	SH3PXD2A
TAMM41	TAMM41
TCF20	TCF20
ZBTB20	ZBTB20
RYR2	RYR2
BAI2	BAI2
LGI1	LGI1
FAIM2	FAIM2
KALRN	KALRN
CTSA	CTSA
PLEKHG3	PLEKHG3
CCDC85A	CCDC85A
TLK1	TLK1
RGS9	RGS9
NOD1	NOD1
PTPRC	PTPRC
SPINT1	SPINT1
BBS1	BBS1
EP400	EP400
KCNQ3	KCNQ3
TUBB1	TUBB1
COL1A1	COL1A1
TSEN34	TSEN34
RFK	RFK
SUZ12	SUZ12
CADM1	CADM1
C17orf58	C17orf58
EML6	EML6
SMAD3	SMAD3
MC4R	MC4R
PCDH17	PCDH17
SCN8A	SCN8A
CACNB2	CACNB2
CPLX3	CPLX3
TXLNG	TXLNG
MAPK8IP3	MAPK8IP3
MAP1A	MAP1A
CEACAM16	CEACAM16
NSF	NSF
ATP6V0A1	ATP6V0A1
EXOG	EXOG
SPPL2A	SPPL2A
GOLM1	GOLM1
TES	TES
GLT8D1	GLT8D1
POFUT1	POFUT1
VAV2	VAV2
ORC4	ORC4
BNIP2	BNIP2
ARHGAP39	ARHGAP39
MPRIP	MPRIP
SMC1A	SMC1A
SYT5	SYT5
LGI2	LGI2
MAP4K2	MAP4K2
STX1B	STX1B
SMG1	SMG1
DNAI1	DNAI1
TRIM23	TRIM23
KPNA1	KPNA1
SCAI	SCAI
ERCC6	ERCC6
BICD1	BICD1
SMARCC1	SMARCC1
SETX	SETX
GREB1L	GREB1L
DIP2C	DIP2C
CTDSPL2	CTDSPL2
MAFK	MAFK
STAT3	STAT3
COL5A2	COL5A2
SRRT	SRRT
CTSL	CTSL
ZNF346	ZNF346
ARFGAP3	ARFGAP3
TLN2	TLN2
JARID2	JARID2
PDPK1	PDPK1
IKBKAP	IKBKAP
COL18A1	COL18A1
PI15	PI15
DCTN4	DCTN4
AMIGO1	AMIGO1
PCDHAC2	PCDHAC2
NCKIPSD	NCKIPSD
SPG11	SPG11
VEGFC	VEGFC
HEATR5B	HEATR5B
C9orf41	C9orf41
DVL3	DVL3
USP20	USP20
PRICKLE2	PRICKLE2
NEFL	NEFL
RASA1	RASA1
MIER1	MIER1
SUV420H1	SUV420H1
CDK16	CDK16
MEF2A	MEF2A
PRRT4	PRRT4
TYK2	TYK2
R3HDM1	R3HDM1
TIGD5	TIGD5
MAN1A2	MAN1A2
LTBP4	LTBP4
SH2B2	SH2B2
C2orf42	C2orf42
MEGF10	MEGF10
DHCR24	DHCR24
SUGP2	SUGP2
PKNOX2	PKNOX2
SH3D19	SH3D19
STAC2	STAC2
RIMS1	RIMS1
ADCY4	ADCY4
NEDD4	NEDD4
AP2B1	AP2B1
EFEMP1	EFEMP1
CHRNG	CHRNG
CAMK2D	CAMK2D
EEPD1	EEPD1
DNMT3A	DNMT3A
VPS45	VPS45
AP1G1	AP1G1
MIER3	MIER3
LOXHD1	LOXHD1
CUL1	CUL1
PPP1R9A	PPP1R9A
LRRC56	LRRC56
EMB	EMB
AMIGO2	AMIGO2
CPEB2	CPEB2
CAMKV	CAMKV
PLEC	PLEC
SLC1A6	SLC1A6
SLC27A6	SLC27A6
ATP2A2	ATP2A2
EXOC3L2	EXOC3L2
CPT1B	CPT1B
DAPK2	DAPK2
NHS	NHS
RBM23	RBM23
AK3	AK3
SYN1	SYN1
SCAF8	SCAF8
MCHR2	MCHR2
TAF6	TAF6
SMAP2	SMAP2
NR3C2	NR3C2
ARID1A	ARID1A
CHD4	CHD4
B3GNTL1	B3GNTL1
CLEC16A	CLEC16A
WDR37	WDR37
SYTL5	SYTL5
ZSWIM3	ZSWIM3
TGFBRAP1	TGFBRAP1
FAHD2A	FAHD2A
ST6GAL2	ST6GAL2
CHD2	CHD2
P4HA1	P4HA1
NUMA1	NUMA1
CLCN3	CLCN3
UBE4B	UBE4B
APC	APC
TBC1D30	TBC1D30
TRIM9	TRIM9
CNTNAP4	CNTNAP4
DISP2	DISP2
NUP214	NUP214
MSL2	MSL2
PARVG	PARVG
DSP	DSP
GMIP	GMIP
LYST	LYST
SLC2A3	SLC2A3
USP7	USP7
SLC7A5	SLC7A5
STOML1	STOML1
CLCC1	CLCC1
TRA2B	TRA2B
SLC35E2B	SLC35E2B
KIF3C	KIF3C
CCSER1	CCSER1
UBFD1	UBFD1
NTRK3	NTRK3
GFRA1	GFRA1
LIG3	LIG3
BIRC2	birc2
HSPA12A	HSPA12A
DDX5	DDX5
SLC2A1	SLC2A1
SEC24B	SEC24B
ARHGEF11	ARHGEF11
MIPOL1	MIPOL1
MAPK6	MAPK6
IGFBP2	IGFBP2
SDC1	SDC1
TNFAIP3	TNFAIP3
CCDC106	CCDC106
LMAN2	LMAN2
HECTD1	HECTD1
SCAMP1	SCAMP1
MAPK14	MAPK14
TTC37	TTC37
KIF18B	KIF18B
ARHGAP25	ARHGAP25
KDM3A	KDM3A
HPS3	HPS3
LMLN	LMLN
LARP7	LARP7
BEND7	BEND7
SEMA6A	SEMA6A
HPCAL4	HPCAL4
DDX39B	DDX39B
BCOR	BCOR
MAMLD1	MAMLD1
TSEN54	TSEN54
EHD3	EHD3
ENTPD3	ENTPD3
KIFAP3	KIFAP3
AKAP1	AKAP1
CAMSAP1	CAMSAP1
SCAMP5	SCAMP5
IGSF9B	IGSF9B
TNKS	TNKS
NINJ1	NINJ1
HEXA	HEXA
DGUOK	DGUOK
HCK	HCK
SPTAN1	SPTAN1
SPTLC2	SPTLC2
TLN1	TLN1
SMARCD3	SMARCD3
ZNF469	ZNF469
TRIM8	TRIM8
TPP2	TPP2
SCN4B	SCN4B
KLHL34	KLHL34
TSC1	TSC1
NAPA	NAPA
USP19	USP19
TELO2	TELO2
RNF144A	RNF144A
SMARCAD1	SMARCAD1
ANKH	ANKH
MTMR4	MTMR4
ARHGAP5	ARHGAP5
IPO7	IPO7
USP25	USP25
ZNF219	ZNF219
PCMTD2	PCMTD2
CDK13	CDK13
ATG4C	ATG4C
NHSL2	NHSL2
NETO2	NETO2
RPS6KA2	RPS6KA2
C3orf18	C3orf18
VPS8	VPS8
GRM1	GRM1
PRKCG	PRKCG
ZFPL1	ZFPL1
ENTPD2	ENTPD2
ATP2B1	ATP2B1
EIF4B	EIF4B
USPL1	USPL1
ZNF711	ZNF711
HCN1	HCN1
GRK5	GRK5
GPR21	GPR21
ATP2B3	ATP2B3
ZZZ3	ZZZ3
KMT2D	KMT2D
CNIH2	CNIH2
UBAC1	UBAC1
SBF2	SBF2
RIMKLB	RIMKLB
CHRNB2	CHRNB2
PIP5K1A	PIP5K1A
SLC40A1	SLC40A1
SPTB	SPTB
MYO1C	MYO1C
SMPD4	SMPD4
CAPN1	CAPN1
ARHGEF1	ARHGEF1
RABEP2	RABEP2
LCP2	LCP2
CHST10	CHST10
HTT	HTT
SPTBN1	SPTBN1
PIAS4	PIAS4
AKT1	AKT1
ACTR1A	ACTR1A
BRPF3	BRPF3
STARD7	STARD7
OPHN1	OPHN1
GPATCH2L	GPATCH2L
BCL2L10	BCL2L10
ITPR1	ITPR1
CFAP61	CFAP61
CCDC120	CCDC120
SMYD3	SMYD3
PKNOX1	PKNOX1
AMOTL2	AMOTL2
CNOT1	CNOT1
EIF3L	EIF3L
RAI14	RAI14
LRFN2	LRFN2
UBAP2	UBAP2
HDX	HDX
FSCN1	FSCN1
ANKRD44	ANKRD44
RELN	RELN
GRM7	GRM7
WBSCR17	WBSCR17
C12orf29	C12orf29
AP2A1	AP2A1
PRRT2	PRRT2
ZNF710	ZNF710
TMEM50B	TMEM50B
PRPF40B	PRPF40B
UACA	UACA
RAP1GAP2	RAP1GAP2
INTS3	INTS3
EFR3A	EFR3A
NUDT3	NUDT3
CALD1	CALD1
CACNA2D2	CACNA2D2
HNMT	HNMT
CHAC1	CHAC1
NRP2	NRP2
ZDHHC13	ZDHHC13
YPEL1	YPEL1
WDR12	WDR12
KHDRBS1	KHDRBS1
PPP1R26	PPP1R26
MIOS	MIOS
XPO6	XPO6
PLPPR4	PLPPR4
DTNA	DTNA
SYMPK	SYMPK
RANBP10	RANBP10
SMG5	SMG5
ZBTB17	ZBTB17
TRAF2	TRAF2
PSMD13	PSMD13
NET1	NET1
EPHA5	EPHA5
RCL1	RCL1
EDC4	EDC4
RAP2C	RAP2C
KCNMA1	KCNMA1
MTA3	MTA3
SLC9A6	SLC9A6
ESYT2	ESYT2
SIN3A	SIN3A
TRMT1L	TRMT1L
PRICKLE1	PRICKLE1
ATP2C2	ATP2C2
COPG2	COPG2
SGTA	SGTA
SLC38A4	SLC38A4
CBX5	CBX5
EXOSC10	EXOSC10
KIAA0196	KIAA0196
PLXNC1	PLXNC1
L3MBTL1	L3MBTL1
COL3A1	COL3A1
UNC79	UNC79
TECPR2	TECPR2
TOP2B	TOP2B
ERRFI1	ERRFI1
TTYH1	TTYH1
MKLN1	MKLN1
PCNXL4	PCNXL4
RNF219	RNF219
SLC1A5	SLC1A5
KCNH3	KCNH3
PARP3	PARP3
AMN1	AMN1
SVIL	SVIL
PTPN23	PTPN23
NRIP1	NRIP1
CPT1A	CPT1A
MTG1	MTG1
DRG1	DRG1
DNAJC6	DNAJC6
CIT	CIT
ALG8	ALG8
XPO1	XPO1
VMAC	VMAC
EPB41L3	EPB41L3
SPATA2	SPATA2
CDIPT	CDIPT
LRIF1	LRIF1
SOX10	SOX10
RRBP1	RRBP1
KDM2B	KDM2B
TMEM67	TMEM67
EGF	EGF
ARL13B	ARL13B
NR2F2	NR2F2
FBXO11	FBXO11
CLVS2	CLVS2
MFSD12	MFSD12
ST5	ST5
GPC1	GPC1
NUB1	NUB1
ZBTB22	ZBTB22
HRAS	HRAS
UIMC1	UIMC1
HIAT1	HIAT1
GNPTAB	GNPTAB
GFRA2	GFRA2
KIF3A	KIF3A
CALU	CALU
SLC46A1	SLC46A1
NOL4	NOL4
ITGA7	ITGA7
SEC23IP	SEC23IP
SNRK	SNRK
ATP1A2	ATP1A2
SQLE	SQLE
SETBP1	SETBP1
BAZ2B	BAZ2B
LMBR1L	LMBR1L
ABHD1	ABHD1
GNPAT	GNPAT
GPC2	GPC2
ZC3H7B	ZC3H7B
XKR7	XKR7
MCAM	MCAM
SRGAP2	SRGAP2
SBNO1	SBNO1
PPIP5K1	PPIP5K1
AGBL5	AGBL5
ALYREF	ALYREF
AATK	AATK
USP30	USP30
MBD5	MBD5
IGSF8	IGSF8
ILK	ILK
KCNC3	KCNC3
WDR48	WDR48
MON1B	MON1B
VPS18	VPS18
BBS2	BBS2
CNTN4	CNTN4
EXOC3L1	EXOC3L1
RIMS3	RIMS3
ARL3	ARL3
RB1CC1	RB1CC1
ATP2B4	ATP2B4
STAG1	STAG1
SCARB2	SCARB2
CDKL5	CDKL5
