turtle	eggnog
ARHGAP31	ARHGAP31
UPK1B	UPK1B
IGSF11	IGSF11
LSAMP	LSAMP
GAP43	GAP43
ZBTB20	ZBTB20
TIGIT	TIGIT
QTRTD1	QTRTD1
KIAA1407	KIAA1407
WDR52	WDR52
BOC	BOC
C1H3orf17	C3ORF17
GTPBP8	GTPBP8
CCDC80	CCDC80
SLC35A5	SLC35A5
ATG3	ATG3
SLC19A2	SLC19A2
CCDC181	C1ORF114
BLZF1	BLZF1
NME7	NME7
ATP1B1	ATP1B1
DPT	DPT
TBX19	TBX19
SFT2D2	SFT2D2
TIPRL	TIPRL
ST3GAL6	ST3GAL6
COL8A1	COL8A1
DCBLD2	DCBLD2
CMSS1	CMSS1
FILIP1L	FILIP1L
TBC1D23	TBC1D23
NIT2	NIT2
TOMM70A	TOMM70A
LNP1	LNP1
TMEM45A	TMEM45A
GPR128	GPR128
TFG	TFG
ABI3BP	ABI3BP
IMPG2	IMPG2
SENP7	SENP7
TXNL4B	TXNL4B
TRMT10C	TRMT10C
PCNP	PCNP
ZBTB11	ZBTB11
RPL24	RPL24
CEP97	CEP97
NXPE3	NXPE3
NFKBIZ	NFKBIZ
ZPLD1	ZPLD1
ALCAM	ALCAM
CBLB	CBLB
BBX	BBX
CD47	CD47
IFT57	IFT57
HHLA2	HHLA2
KIAA1524	KIAA1524
SH2D1B	SH2D1B
GUCA1C	GUCA1C
MORC1	MORC1
PVRL3	PVRL3
CD96	CD96
PLCXD2	PLCXD2
PHLDB2	PHLDB2
ABHD10	ABHD10
TAGLN3	TAGLN3
TMPRSS7	TMPRSS7
C1H3orf52	C3ORF52
CD200	CD200
BTLA	BTLA
CGGBP1	CGGBP1
ZNF654	ZNF654
C1H3orf38	C3ORF38
EPHA3	EPHA3
PROS1	PROS1
ARL13B	ARL13B
STX19	STX19
NSUN3	NSUN3
EPHA6	EPHA6
ARL6	ARL6
CRYBG3	CRYBG3
MINA	MINA
GABRR3	GABRR3
DCAF6	DCAF6
MPC2	MPC2
RCSD1	RCSD1
CREG1	CREG1
CD247	CD247
POU2F1	POU2F1
DUSP27	DUSP27
GPA33	GPA33
MAEL	MAEL
ILDR2	ILDR2
PTGFRN	PTGFRN
CD101	CD101
IGSF3	IGSF3
ADPRH	ADPRH
TIMMDC1	TIMMDC1
POGLUT1	POGLUT1
BCL9	BCL9
ACP6	ACP6
GJA5	GJA5
GJA8	GJA8
GPR89B	GPR89B
PDZK1	PDZK1
HTR1F	HTR1F
WDR60	WDR60
LIMS1	LIMS1
GCC2	GCC2
SLC5A7	SLC5A7
ST6GAL2	ST6GAL2
UXS1	UXS1
C1H2orf40	C2ORF40
NCK2	NCK2
FHL2	FHL2
C1H2orf49	C2ORF49
TGFBRAP1	TGFBRAP1
GPR45	GPR45
MRPS9	MRPS9
POU3F3	POU3F3
TMEM182	TMEM182
MFSD9	MFSD9
SLC9A2	SLC9A2
SLC9A4	SLC9A4
IL18RAP	IL18RAP
IL18R1	IL18R1
IL1RL1	IL1RL1
IL1RAPL1	IL1RAPL1
NR0B1	NR0B1
C1HXorf21	CXORF21
GK	GK
TAB3	TAB3
PLCL1	PLCL1
TRIM41	TRIM41
GNB2L1	GNB2L1
BTNL3	ERMAP
AMER2	FAM123A
MTMR6	MTMR6
NUPL1	NUPL1
SHISA2	SHISA2
ATP8A2	ATP8A2
RNF6	RNF6
CDK8	CDK8
WASF3	WASF3
GPR12	GPR12
USP12	USP12
RPL21	RPL21
RASL11A	RASL11A
GTF3A	GTF3A
MTIF3	MTIF3
LNX2	LNX2
GSX1	GSX1
PDX1	PDX1
CDX2	CDX2
FLT3	FLT3
PAN3	PAN3
FLT1	FLT1
POMP	POMP
SLC46A3	SLC46A3
SLC7A1	SLC7A1
UBL3	UBL3
KATNAL1	KATNAL1
HMGB1	HMGB1
ALOX5AP	ALOX5AP
MEDAG	MEDAG
TEX26	TEX26
HSPH1	HSPH1
B3GALTL	B3GALTL
RXFP2	RXFP2
FRY	FRY
BRCA2	BRCA2
N4BP2L1	N4BP2L1
N4BP2L2	N4BP2L2
PDS5B	PDS5B
KL	KL
STARD13	STARD13
RFC3	RFC3
NBEA	NBEA
MAB21L1	MAB21L1
DCLK1	DCLK1
SPG20	SPG20
CCNA1	CCNA1
SERTM1	SERTM1
RFXAP	RFXAP
SMAD9	SMAD9
ALG5	ALG5
EXOSC8	EXOSC8
SUPT20H	FAM48A
POSTN	POSTN
TRPC4	TRPC4
UFM1	UFM1
STOML3	STOML3
NHLRC3	NHLRC3
LHFP	LHFP
COG6	COG6
FOXO1	FOXO1
MRPS31	MRPS31
SLC25A15	SLC25A15
THSD1	THSD1
VPS36	VPS36
CKAP2	CKAP2
NEK3	NEK3
NEK5	NEK5
ALG11	ALG11
ATP7B	ATP7B
CCDC70	CCDC70
DHRS12	DHRS12
WDFY2	WDFY2
INTS6	INTS6
SERPINE3	SERPINE3
FAM124A	FAM124A
RNASEH2B	RNASEH2B
DLEU7	DLEU7
KCNRG	KCNRG
TRIM13	TRIM13
SPRYD7	SPRYD7
KPNA3	KPNA3
EBPL	EBPL
ARL11	ARL11
RCBTB1	RCBTB1
PHF11	PHF11
SETDB2	SETDB2
CAB39L	CAB39L
CDADC1	CDADC1
MLNR	MLNR
FNDC3A	FNDC3A
CYSLTR2	CYSLTR2
RCBTB2	RCBTB2
RB1	RB1
LPAR6	LPAR6
ITM2B	ITM2B
MED4	MED4
NUDT15	NUDT15
SUCLA2	SUCLA2
HTR2A	HTR2A
ESD	ESD
LRCH1	LRCH1
KIAA0226L	KIAA0226L
LRRC63	LRRC63
LCP1	LCP1
CPB2	CPB2
ZC3H13	ZC3H13
SIAH3	SIAH3
SPERT	SPERT
ERICH6B	FAM194B
COG3	COG3
SLC25A30	SLC25A30
TPT1	TPT1
GTF2F2	GTF2F2
KCTD4	KCTD4
GPALPP1	KIAA1704
NUFIP1	NUFIP1
TSC22D1	TSC22D1
VWA8	VWA8
RGCC	RGCC
NAA16	NAA16
MTRF1	MTRF1
WBP4	WBP4
ELF1	ELF1
SUGT1	SUGT1
LECT1	LECT1
OLFM4	OLFM4
PCDH17	PCDH17
FGF9	FGF9
MICU2	EFHA1
ZDHHC20	ZDHHC20
MRPL57	MRP63
SKA3	SKA3
SAP18	SAP18
LATS2	LATS2
XPO4	XPO4
N6AMT2	N6AMT2
IL17D	IL17D
IFT88	IFT88
MIPOL1	MIPOL1
SLC25A21	SLC25A21
PAX9	PAX9
NKX2-8	NKX2-8
NKX2-1	NKX2-1
MBIP	MBIP
PGLYRP2	PGLYRP2
RASAL3	RASAL3
WIZ	WIZ
AKAP8L	AKAP8L
AKAP8	AKAP8
BRD4	BRD4
ZC3H12C	ZC3H12C
FDX1	FDX1
ARHGAP20	ARHGAP20
RNF17	RNF17
CENPJ	CENPJ
PARP4	PARP4
MPHOSPH8	MPHOSPH8
PSPC1	PSPC1
ZMYM2	ZMYM2
GJA3	GJA3
CRYL1	CRYL1
MTERF	MTERF
AKAP9	AKAP9
LRRD1	LRRD1
KRIT1	KRIT1
ANKIB1	ANKIB1
STEAP1	STEAP1
STEAP2	STEAP2
C2H7orf63	C7ORF63
CDK14	CDK14
FZD1	FZD1
DBF4	DBF4
ADAM22	ADAM22
SRI	SRI
STEAP4	STEAP4
ZNF804B	ZNF804B
CROT	CROT
RUNDC3B	RUNDC3B
PTER	PTER
FAM188A	FAM188A
ITGA8	ITGA8
FAM171A1	FAM171A1
NMT2	NMT2
ST8SIA6	ST8SIA6
VIM	VIM
TRDMT1	TRDMT1
CUBN	CUBN
RSU1	RSU1
DGKB	DGKB
AGMO	AGMO
MEOX2	MEOX2
ISPD	ISPD
LRRC72	LRRC72
SOSTDC1	SOSTDC1
ANKMY2	ANKMY2
BZW2	BZW2
TSPAN13	TSPAN13
AGR2	AGR2
AGR3	AGR3
AHR	AHR
SNX13	SNX13
ABCB5	ABCB5
SP4	SP4
DNAH11	DNAH11
CDCA7L	CDCA7L
RAPGEF5	RAPGEF5
IL6	IL6
TOMM7	TOMM7
FAM126A	FAM126A
KLHL7	KLHL7
NUPL2	NUPL2
GPNMB	GPNMB
MALSU1	MALSU1
IGF2BP3	IGF2BP3
TRA2A	TRA2A
CCDC126	CCDC126
FAM221A	FAM221A
STK31	STK31
NPY	NPY
MPP6	MPP6
DFNA5	DFNA5
OSBPL3	OSBPL3
C2H7orf31	C7ORF31
NPVF	NPVF
NFE2L3	NFE2L3
HNRNPA2B1	HNRNPA3
CBX3	CBX3
SNX10	SNX10
SKAP2	SKAP2
HOXA1	HOXA1
HOXA2	HOXA2
HOXA3	HOXA3
HOXA5	HOXA5
HOXA6	HOXA6
HOXA7	HOXA7
HOXA9	HOXA9
HOXA10	HOXA10
HOXA11	HOXA11
HOXA13	HOXA13
EVX1	EVX1
HIBADH	HIBADH
TAX1BP1	TAX1BP1
JAZF1	JAZF1
CREB5	CREB5
TRIL	TRIL
CPVL	CPVL
CHN2	CHN2
PRR15	PRR15
WIPF3	WIPF3
SCRN1	SCRN1
FKBP14	FKBP14
PLEKHA8	PLEKHA8
HACL1	HACL1
BTD	BTD
ANKRD28	ANKRD28
GALNT15	GALNTL2
DPH3	DPH3
OXNAD1	OXNAD1
RFTN1	RFTN1
DAZL	DAZL
PLCL2	PLCL2
TBC1D5	TBC1D5
SATB1	SATB1
KCNH8	KCNH8
EFHB	EFHB
RAB5A	RAB5A
PP2D1	PP2D1
KAT2B	KAT2B
SGOL1	SGOL1
ZNF385D	ZNF385D
UBE2E2	UBE2E2
UBE2E1	UBE2E1
NKIRAS1	NKIRAS1
NR1D2	NR1D2
THRB	THRB
RARB	RARB
TOP2B	TOP2B
NGLY1	NGLY1
OXSM	OXSM
LRRC3B	LRRC3B
NEK10	NEK10
SLC4A7	SLC4A7
EOMES	EOMES
CMC1	CMC1
AZI2	AZI2
ZCWPW2	ZCWPW2
RBMS3	RBMS3
TGFBR2	TGFBR2
GADL1	GADL1
SUSD5	SUSD5
CRTAP	CRTAP
GLB1	GLB1
TMPPE	TMPPE
CCR4	CCR4
SLC25A38	SLC25A38
RPSA	RPSA
TMC2	TMC2
MYRIP	MYRIP
EIF1B	EIF1B
CCK	CCK
TRAK1	TRAK1
ULK4	ULK4
CTNNB1	CTNNB1
KIAA1143	KIAA1143
KIF15	KIF15
TGM4	TGM4
TMEM42	TMEM42
ZDHHC3	ZDHHC3
EXOSC7	EXOSC7
CLEC3B	CLEC3B
CDCP1	CDCP1
TMEM158	TMEM158
LARS2	LARS2
LIMD1	LIMD1
SACM1L	SACM1L
SNRPD1	SNRPD1
LZTFL1	LZTFL1
FYCO1	FYCO1
CXCR6	CXCR6
XCR1	XCR1
TOPBP1	TOPBP1
CDV3	CDV3
BFSP2	BFSP2
TMEM108	TMEM108
NPHP3	NPHP3
UBA5	UBA5
ACAD11	ACAD11
ACKR4	CCRL1
DNAJC13	DNAJC13
CPNE4	CPNE4
MRPL3	MRPL3
ASTE1	ASTE1
ATP2C1	ATP2C1
PIK3R4	PIK3R4
CAPN7	CAPN7
SH3BP5	SH3BP5
METTL6	METTL6
MTURN	C7ORF41
ZNRF2	ZNRF2
NOD1	NOD1
GGCT	GGCT
ENTPD3	ENTPD3
RPL14	RPL14
FAM198A	FAM198A
POMGNT2	GTDC2
SNRK	SNRK
ANO10	ANO10
ABHD5	ABHD5
TOPAZ1	TOPAZ1
TCAIM	TCAIM
TRIM71	TRIM71
CNOT10	CNOT10
DYNC1LI1	DYNC1LI1
CMTM6	CMTM6
CMTM7	CMTM7
CMTM8	CMTM8
GPD1L	GPD1L
OSBPL10	OSBPL10
CDH6	CDH6
DROSHA	DROSHA
C2H5orf22	C5ORF22
MC4R	MC4R
VRK3	VRK3
CCNF	CCNF
ZMAT4	ZMAT4
SFRP1	SFRP1
GOLGA7	GOLGA7
GINS4	GINS4
AGPAT6	AGPAT6
NKX6-3	NKX6-3
ANK1	ANK1
KAT6A	KAT6A
AP3M2	AP3M2
PLAT	PLAT
IKBKB	IKBKB
VDAC3	VDAC3
DKK4	DKK4
POLB	POLB
CDH9	CDH9
C2H8orf4	C8ORF4
ADAM32	ADAM2
IDO1	IDO1
IDO2	IDO2
TACC1	TACC1
PLEKHA2	PLEKHA2
HTRA4	HTRA4
TM2D2	TM2D2
GPAT2	GPAT2
FAHD2A	FAHD2A
KCNIP3	KCNIP3
PROM2	PROM2
DUSP11	DUSP11
STAMBP	STAMBP
TET3	TET3
BOLA3	BOLA3
MOB1A	MOB1A
MTHFD2	MTHFD2
SLC4A5	SLC4A5
UNC5D	UNC5D
KCNU1	KCNU1
ZNF703	ZNF703
ERLIN2	ERLIN2
PROSC	PROSC
GPR124	GPR124
BRF2	BRF2
RAB11FIP1	RAB11FIP1
GOT1L1	GOT1L1
ADRB3	ADRB3
EIF4EBP1	EIF4EBP1
NODAL	NODAL
ASH2L	ASH2L
STAR	STAR
LSM1	LSM1
BAG4	BAG4
DDHD2	DDHD2
PPAPDC1B	PPAPDC1B
WHSC1L1	WHSC1L1
LETM2	LETM2
FGFR1	FGFR1
MARCH6	MARCH6
CCT5	CCT5
FAM173B	FAM173B
LRRC30	LRRC30
LAMA1	LAMA1
ARHGAP28	ARHGAP28
TMEM200C	TMEM200C
EPB41L3	EPB41L3
C2H18orf42	C18ORF42
DLGAP1	DLGAP1
TGIF1	TGIF1
MYOM1	MYOM1
PPP1R3A	PPP1R3A
FOXP2	FOXP2
MDFIC	MDFIC
TFEC	TFEC
TES	TES
CAV2	CAV2
CAV1	CAV1
MET	MET
CAPZA2	CAPZA2
ST7	ST7
WNT2	WNT2
ASZ1	ASZ1
CFTR	CFTR
CTTNBP2	CTTNBP2
LSM8	NAA38
ANKRD26	ANKRD30B
KCND2	KCND2
TSPAN12	TSPAN12
WNT16	WNT16
FAM3C	FAM3C
PTPRZ1	PTPRZ1
AASS	AASS
FEZF1	ZNF91
CADPS2	CADPS2
SLC13A1	SLC13A1
IQUB	IQUB
NDUFA5	NDUFA5
ASB15	ASB15
LMOD2	LMOD2
WASL	WASL
GPR37	GPR37
POT1	POT1
GRM8	GRM8
ZNF800	ZNF800
PLXNB2	PLXNB2
MAPK11	MAPK11
MAPK12	MAPK12
HDAC10	HDAC10
TUBGCP6	TUBGCP6
TRABD	TRABD
PANX2	PANX2
MOV10L1	MOV10L1
MLC1	MLC1
TTLL8	TTLL8
IL17REL	IL17REL
PIM3	PIM3
CRELD2	CRELD2
ALG12	ALG12
ZBED4	ZBED4
BRD1	BRD1
FAM19A5	FAM19A5
LRPAP1	LRPAP1
MCMDC2	MCMDC2
VCPIP1	VCPIP1
MYBL1	MYBL1
C2H8orf46	C8ORF46
ADHFE1	ADHFE1
RRS1	RRS1
CRH	CRH
TRIM55	TRIM55
DNAJC5B	DNAJC5B
PDE7A	PDE7A
MTFR1	MTFR1
ARMC1	ARMC1
BHLHE22	BHLHE22
YTHDF3	YTHDF3
TTPA	TTPA
GGH	GGH
NKAIN3	NKAIN3
ASPH	ASPH
CLVS1	CLVS1
CHD7	CHD7
RAB2A	RAB2A
CA8	CA8
KIF16B	KIF16B
MACROD2	MACROD2
FLRT3	FLRT3
SEL1L2	SEL1L2
ESF1	ESF1
TASP1	TASP1
ISM1	ISM1
SPTLC3	SPTLC3
BTBD3	BTBD3
JAG1	JAG1
SLX4IP	SLX4IP
MKKS	MKKS
SNAP25	SNAP25
ANKEF1	ANKRD5
PAK7	PAK7
LAMP5	LAMP5
PLCB4	PLCB4
PLCB1	PLCB1
TMX4	TMX4
HAO1	HAO1
BMP2	BMP2
FERMT1	FERMT1
LRRN4	LRRN4
CRLS1	CRLS1
MCM8	MCM8
TRMT6	TRMT6
CHGB	CHGB
GPCPD1	GPCPD1
NAPB	NAPB
GZF1	GZF1
CD93	CD93
SSTR4	SSTR4
DSTN	DSTN
RRBP1	RRBP1
SNX5	SNX5
MGME1	C20ORF72
PET117	PET117
CSRP2BP	CSRP2BP
BIRC5	BIRC5
DZANK1	DZANK1
POLR3F	POLR3F
RBBP9	RBBP9
SEC23B	SEC23B
DTD1	DTD1
SLC24A3	SLC24A3
RIN2	RIN2
NAA20	NAA20
CRNKL1	CRNKL1
C3H20orf26	C20ORF26
INSM1	INSM1
RALGAPA2	RALGAPA2
KIZ	PLK1S1
XRN2	XRN2
NKX2-4	NKX2-4
NKX2-2	NKX2-2
PAX1	PAX1
FOXA2	FOXA2
MALL	MALL
NPHP1	NPHP1
TMEM178A	TMEM178A
MAP4K3	MAP4K3
SOS1	SOS1
ARHGEF33	ARHGEF33
MORN2	MORN2
DHX57	DHX57
TTBK1	TTBK1
SRD5A2	SRD5A2
MEMO1	MEMO1
DPY30	DPY30
SPAST	SPAST
QPCT	QPCT
PRKD3	PRKD3
NDUFAF7	NDUFAF7
CEBPZ	CEBPZ
CRIM1	CRIM1
FEZ2	FEZ2
VIT	VIT
STRN	STRN
HEATR5B	HEATR5B
GPATCH11	CCDC75
EIF2AK2	EIF2AK2
NANP	NANP
RMDN2	FAM82A1
CDC42EP3	CDC42EP3
YIPF4	YIPF4
BIRC6	BIRC6
TTC27	TTC27
LTBP1	LTBP1
RASGRP3	RASGRP3
ZNF318	ZNF318
ABCC10	ABCC10
TJAP1	TJAP1
LRRC73	LRRC73
YIPF3	YIPF3
POLR1C	POLR1C
XPO5	XPO5
POLH	POLH
GTPBP2	GTPBP2
MAD2L1BP	MAD2L1BP
RSPH9	RSPH9
MRPS18A	MRPS18A
VEGFA	VEGFA
MRPL14	MRPL14
TMEM63B	TMEM63B
SLC29A1	SLC29A1
HSP90AB1	HSP90AB1
SLC35B2	SLC35B2
NFKBIE	NFKBIE
TMEM151B	TMEM151B
TCTE1	TCTE1
AARS2	AARS2
RNF8	RNF8
CMTR1	FTSJD2
CCDC167	CCDC167
ZFAND3	ZFAND3
BTBD9	BTBD9
GLO1	GLO1
DNAH8	DNAH8
GLP1R	GLP1R
KCNK5	KCNK5
KCNK17	KCNK17
KCNK16	KCNK16
KIF6	KIF6
DAAM2	DAAM2
MOCS1	MOCS1
LRFN2	LRFN2
SUPT7L	SUPT7L
SLC4A1AP	SLC4A1AP
MRPL33	MRPL33
RBKS	RBKS
BRE	BRE
FOSL2	FOSL2
SPDYA	SPDYA
TRMT61B	TRMT61B
WDR43	WDR43
FAM179A	FAM179A
C3H2orf71	C2ORF71
CLIP4	CLIP4
ALK	ALK
LBH	LBH
LCLAT1	LCLAT1
CAPN13	CAPN13
GALNT14	GALNT14
CAPN14	CAPN14
EHD3	EHD3
XDH	XDH
CDC42BPA	CDC42BPA
ADCK3	ADCK3
PSEN2	PSEN2
ITPKB	ITPKB
C3H1orf95	C1ORF95
PARP1	PARP1
LIN9	LIN9
ACBD3	ACBD3
SDE2	SDE2
TMEM63A	TMEM63A
EPHX1	EPHX1
SRP9	SRP9
ENAH	ENAH
LBR	LBR
CNIH3	CNIH3
WDR26	WDR26
CNIH4	CNIH4
NVL	NVL
FBXO28	FBXO28
TP53BP2	TP53BP2
CAPN2	CAPN2
CAPN8	CAPN8
SUSD4	SUSD4
TLR5	TLR5
DISP1	DISP1
FAM177B	FAM177B
BROX	BROX
AIDA	AIDA
MIA3	MIA3
TAF1A	TAF1A
RNASET2	RNASET2
FGFR1OP	FGFR1OP
GPR31	GPR31
TTLL2	TTLL2
UNC93A	UNC93A
MLLT4	MLLT4
KIF25	KIF25
FRMD1	FRMD1
DACT2	DACT2
SMOC2	SMOC2
THBS2	THBS2
WDR27	WDR27
C3H6orf120	C6ORF120
PHF10	PHF10
TCTE3	TCTE3
ERMARD	C6ORF70
DLL1	DLL1
FAM120B	FAM120B
SRPK2	SRPK2
KMT2E	MLL5
RFX6	RFX6
VGLL2	VGLL2
ROS1	ROS1
DCBLD1	DCBLD1
GOPC	GOPC
NUS1	NUS1
SLC35F1	SLC35F1
CEP85L	CEP85L
PLN	PLN
ASF1A	ASF1A
FAM184A	FAM184A
MAN1A1	MAN1A1
TBC1D32	C6ORF170
GJA1	GJA1
HSF2	HSF2
SERINC1	SERINC1
PKIB	PKIB
FABP7	FABP7
SMPDL3A	SMPDL3A
CLVS2	CLVS2
TRDN	TRDN
NKAIN2	NKAIN2
RNF217	RNF217
TPD52L1	TPD52L1
HDDC2	HDDC2
HEY2	HEY2
NCOA7	NCOA7
HINT3	HINT3
TRMT11	TRMT11
CENPW	CENPW
RSPO3	RSPO3
RNF146	RNF146
ECHDC1	ECHDC1
KIAA0408	KIAA0408
SOGA3	SOGA3
C3H6orf58	C6ORF58
THEMIS	THEMIS
PTPRK	PTPRK
LAMA2	LAMA2
ARHGAP18	ARHGAP18
L3MBTL3	L3MBTL3
SAMD3	SAMD3
TMEM200A	TMEM200A
EPB41L2	EPB41L2
AKAP7	AKAP7
MSH5	MSH5
ARG1	ARG1
MED23	MED23
ENPP3	ENPP3
ENPP1	ENPP1
CTGF	CTGF
MOXD1	MOXD1
STX7	STX7
TAAR5	TAAR5
TAAR2	TAAR4
TAAR1	TAAR1
RPS12	RPS12
EYA4	EYA4
TCF21	TCF21
TBPL1	TBPL1
SLC2A12	SLC2A12
ALDH8A1	ALDH8A1
HBS1L	HBS1L
MYB	MYB
AHI1	AHI1
PDE7B	PDE7B
MTFR2	FAM54A
BCLAF1	BCLAF1
MAP7	MAP7
MAP3K5	MAP3K5
PEX7	PEX7
SLC35D3	SLC35D3
IL20RA	IL20RA
IL22RA2	IL22RA2
IFNGR1	IFNGR1
OLIG3	OLIG3
TNFAIP3	TNFAIP3
KIAA1244	KIAA1244
HEBP2	HEBP2
NHSL1	NHSL1
CCDC28A	CCDC28A
ECT2L	ECT2L
REPS1	REPS1
ABRACL	ABRACL
HECA	HECA
TXLNB	TXLNB
CITED2	CITED2
NMBR	NMBR
VTA1	VTA1
GPR126	GPR126
HIVEP2	HIVEP2
AIG1	AIG1
ADAT2	ADAT2
PEX3	PEX3
FUCA2	FUCA2
PHACTR2	PHACTR2
LTV1	LTV1
ZC2HC1B	ZC2HC1B
PLAGL1	PLAGL1
SF3B5	SF3B5
STX11	STX11
UTRN	UTRN
EPM2A	EPM2A
FBXO30	FBXO30
SHPRH	SHPRH
GRM1	GRM1
RAB32	RAB32
ADGB	ADGB
STXBP5	STXBP5
UST	UST
TAB2	TAB2
ZC3H12D	ZC3H12D
PPIL4	PPIL4
GINM1	GINM1
KATNA1	KATNA1
LATS1	LATS1
NUP43	NUP43
PCMT1	PCMT1
LRP11	LRP11
PPP1R14C	PPP1R14C
IYD	IYD
PLEKHG1	PLEKHG1
MTHFD1L	MTHFD1L
AKAP12	AKAP12
ZBTB2	ZBTB2
RMND1	RMND1
C3H6orf211	C6ORF211
CCDC170	CCDC170
ESR1	ESR1
SYNE1	SYNE1
MYCT1	MYCT1
VIP	VIP
FBXO5	FBXO5
MTRF1L	MTRF1L
RGS17	RGS17
OPRM1	OPRM1
CNKSR3	CNKSR3
SCAF8	SCAF8
TIAM2	TIAM2
TFB1M	TFB1M
CLDN20	CLDN20
NOX3	NOX3
ARID1B	ARID1B
TMEM242	TMEM242
SNX9	SNX9
SYNJ2	SYNJ2
SERAC1	SERAC1
GTF2H5	GTF2H5
SNAP91	SNAP91
PRSS35	PRSS35
ME1	ME1
RWDD2A	RWDD2A
PGM3	PGM3
DOPEY1	DOPEY1
UBE3D	UBE3D
TPBG	TPBG
IBTK	IBTK
FAM46A	FAM46A
BCKDHB	BCKDHB
TTK	TTK
ELOVL4	ELOVL4
SH3BGRL2	SH3BGRL2
LCA5	LCA5
HMGN3	HMGN3
PHIP	PHIP
IRAK1BP1	IRAK1BP1
ZCCHC3	ZCCHC3
MEI4	MEI4
HTR1B	HTR1B
IMPG1	IMPG1
MYO6	MYO6
SENP6	SENP6
FILIP1	FILIP1
TMEM30A	TMEM30A
COL12A1	COL12A1
CD109	CD109
SLC17A5	SLC17A5
B3GAT2	B3GAT2
SMAP1	SMAP1
C3H6orf57	C6ORF57
FAM135A	FAM135A
LMBRD1	LMBRD1
BAI3	BAI3
CD34	CD34
PLXNA2	PLXNA2
FGD2	FGD2
MTCH1	MTCH1
C4H6orf89	C6ORF89
RAB44	RAB44
CDKN1A	CDKN1A
SRSF3	SRSF3
STK38	STK38
KCTD20	KCTD20
ETV7	ETV7
KCNA3	KCNA3
KCNA2	KCNA2
KCNA10	KCNA10
RHOD	RHOD
KDM2A	KDM2A
ADRBK1	ADRBK1
ANKRD13D	ANKRD13D
SSH3	SSH3
POLD4	POLD4
CLCF1	CLCF1
RAD9A	RAD9A
PPP1CA	PPP1CA
TBC1D10C	TBC1D10C
CARNS1	CARNS1
RPS6KB2	RPS6KB2
PTPRCAP	PTPRCAP
CORO1B	CORO1B
CABP4	CABP4
ACY3	ACY3
OSBP	OSBP
PATL1	PATL1
STX3	STX3
MRPL16	MRPL16
R3HDM1	R3HDM1
UBXN4	UBXN4
LCT	LCT
MCM6	MCM6
DARS	DARS
CXCR4	CXCR4
THSD7B	THSD7B
ACTR3	ACTR3
SLC35F5	SLC35F5
LYPD1	LYPD1
GPR39	GPR39
NCKAP5	NCKAP5
MGAT5	MGAT5
TMEM163	TMEM163
ACMSD	ACMSD
CCNT2	CCNT2
MAP3K19	MAP3K19
RAB3GAP1	RAB3GAP1
ZRANB3	ZRANB3
DPP10	DPP10
EN1	EN1
INSIG2	INSIG2
CCDC93	CCDC93
DDX18	DDX18
ERGIC2	ERGIC2
LRRK2	LRRK2
SLC2A13	SLC2A13
C4H12orf40	C12ORF40
ABCD2	ABCD2
KIF21A	KIF21A
CPNE8	CPNE8
TPRKB	TPRKB
GTSE1	GTSE1
TRMU	TRMU
CELSR1	CELSR1
